NDUFS4	Hepatic necrosis	
CXCR2	Hepatic necrosis	
NDUFAF2	Hepatic necrosis	
NDUFA2	Hepatic necrosis	
TGFA	Hepatic necrosis	
NDUFA12	Hepatic necrosis	
HADH	Hepatic necrosis	
NDUFA10	Hepatic necrosis	
FPR1	Hepatic necrosis	
CYP3A4	Hepatic necrosis	
CNR2	Hepatic necrosis	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*29	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	F7	0.8638247395845513	
GRIA1	TRAPPC6A	0.8526462282435747	
OPRM1	TAS2R9	0.8354005520686607	
OPRM1	GPR18	0.8354005520686607	
OPRD1	CXCL6	0.8459813396079446	
OPRM1	MCHR2	0.8354005520686607	
OPRD1	PMCH	0.8407682499807351	
OPRM1	SAA1	0.8407682499807351	
OPRD1	CXCR4	0.8354005520686607	
OPRK1	GNAI1	0.8526462282435747	
Sevoflurane	GRIA1	1	
OPRM1	CXCL10	0.8407682499807351	
OPRK1	P2RY12	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5	0.99	
OPRM1	GALR3	0.8252219011119977	
GRIA1	SEC24A	0.8619307007599862	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RYR2	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC1A5	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	LDB3	0.8638247395845513	
OPRD1	LPAR5	0.8252219011119977	
OPRD1	CXCL8	0.8459813396079446	
MT-ND1	NDUFB1	0.8433517079273392	
OPRK1	TAS2R40	0.8354005520686607	
CYP3A4	rs4986910	0.8775210229989678	
OPRM1	TAS2R31	0.8354005520686607	
OPRD1	PTGDR2	0.8252219011119977	
OPRD1	PPY	0.833320481754769	
OPRK1	HTR1F	0.8354005520686607	
OPRD1	GALR1	0.8252219011119977	
OPRD1	POMC	0.8436671950788296	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
CYP2A6	rs28399454	0.99	
OPRK1	SST	0.8407682499807351	
OPRD1	TAS2R46	0.8354005520686607	
OPRM1	BDKRB2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.8638247395845513	
GRIA1	GRIA1	0.8645785616292008	
CYP3A4	rs2740574	0.9135172474836407	
OPRM1	CHRM4	0.8354005520686607	
OPRD1	CNR2	0.8354005520686607	
OPRD1	TAS2R5	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:x6cpThd263Mg5MI1OElxwfuSmiY9606	0.8638247395845513	
CYP2A6	rs4803381	0.99	
CYP3A4	rs4986910	0.9509900498999999	
OPRK1	ADRA2B	0.8252219011119977	
OPRD1	GABBR1	0.8252219011119977	
CYP2A6	rs1801272	0.99	
OPRK1	CNR1	0.8354005520686607	
OPRM1	OPRL1	0.8354005520686607	
CYP3A	rs12721627	0.9702989999999999	
OPRD1	TAS2R1	0.8354005520686607	
OPRM1	HEBP1	0.8407682499807351	
OPRK1	CCR10	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GSN	0.8638247395845513	
OPRK1	NPBWR1	0.8354005520686607	
OPRK1	CXCL3	0.8407682499807351	
OPRD1	HTR1E	0.8354005520686607	
OPRM1	APLN	0.8407682499807351	
OPRM1	LPAR2	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GFAP	0.8638247395845513	
GRIA1	GRIA2	0.8514037595308094	
OPRD1	P2RY13	0.8354005520686607	
CYP2B6	rs3786547	0.99	
CYP3A4	rs4646437	0.9509900498999999	
OPRD1	PYY	0.833320481754769	
CYP3A4	rs3735451	0.9509900498999999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PPBP	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF292	0.8638247395845513	
CYP2A6	rs140471703	0.99	
OPRM1	GABBR2	0.8252219011119977	
CYP2D6	rs28371706	0.99	
MT-ND1	NDUFS4	0.8370620429147057	
OPRM1	LPAR5	0.8252219011119977	
OPRD1	CXCL5	0.8407682499807351	
Desflurane	ATP2C1	1	
OPRD1	KNG1	0.8407682499807351	
OPRK1	KNG1	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:xz86zyvibNFDhT+J8v28Znx5/2M9913	0.8638247395845513	
Sevoflurane	CYP2A6	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6A	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFH	0.8638247395845513	
OPRK1	NMU	0.8407682499807351	
Menthol	TRPM8	1	
OPRM1	NPY4R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTR	0.8638247395845513	
GRIA1	TRAPPC10	0.8526462282435747	
Hydrocodone	OPRD1	1	
OPRD1	SST	0.8407682499807351	
CYP3A4	rs12721627	0.99	
GRIA1	USO1	0.842023951637581	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HPX	0.8638247395845513	
OPRM1	CXCL2	0.8407682499807351	
OPRD1	CCR4	0.8354005520686607	
OPRD1	CXCL9	0.8407682499807351	
OPRK1	TAS2R43	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*5	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
OPRM1	ACKR3	0.8354005520686607	
rs4987161	CYP3A	0.9414801494009999	
OPRM1	SSTR2	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.8638247395845513	
OPRK1	HRH3	0.8354005520686607	
OPRK1	GPR55	0.8354005520686607	
OPRD1	NMUR2	0.8421959353175904	
CYP3A4	rs56324128	0.9135172474836407	
OPRK1	GRM2	0.8252219011119977	
OPRM1	SUCNR1	0.8354005520686607	
OPRK1	NPW	0.8407682499807351	
ATP5D	ATP5J2	0.8294526363440686	
OPRM1	GALR1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.8638247395845513	
GRIA1	GOLGA2	0.842023951637581	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA2	0.8638247395845513	
OPRM1	NMUR1	0.8354005520686607	
OPRM1	APLNR	0.8354005520686607	
OPRK1	TAS2R41	0.8354005520686607	
OPRK1	TAS2R50	0.8354005520686607	
OPRD1	S1PR3	0.8252219011119977	
OPRM1	CCL23	0.8407682499807351	
OPRD1	CXCR6	0.8354005520686607	
OPRM1	S1PR4	0.8252219011119977	
OPRD1	GRM6	0.8252219011119977	
OPRM1	TAS2R38	0.8354005520686607	
OPRK1	POMC	0.8436671950788296	
OPRD1	C3	0.8407682499807351	
OPRM1	rs2281617	0.99	
OPRM1	AGTR2	0.8354005520686607	
CYP2D6	rs138417770	0.99	
GRIA1	SEC16B	0.8441288359160942	
Desflurane	GRIA1	1	
ATP5D	ATP5J	0.8294526363440686	
CYP3A4	rs2242480	0.8775210229989678	
OPRM1	C5AR1	0.8354005520686607	
OPRK1	PTGDR2	0.8252219011119977	
OPRD1	CCR6	0.8354005520686607	
MT-ND1	NDUFA13	0.8433517079273392	
OPRM1	CCL19	0.8407682499807351	
OPRM1	CXCL9	0.8407682499807351	
CYP3A4	rs4646440	0.8775210229989678	
MT-ND1	NDUFA6	0.8433517079273392	
OPRK1	HRH4	0.8354005520686607	
APOC1	rs7412	0.8214887322023668	
OPRM1	PDYN	0.8611505155370949	
OPRM1	CXCL13	0.8407682499807351	
MT-ND1	NDUFB9	0.8433517079273392	
OPRM1	CCR1	0.8354005520686607	
Menthol	OPRK1	1	
OPRD1	TAS2R13	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.8638247395845513	
OPRD1	NMUR1	0.8354005520686607	
CFH	rs800292	0.8551864921887058	
OPRK1	CCR5	0.8354005520686607	
CYP2A6	rs28399433	0.99	
OPRD1	GNG2	0.8526462282435747	
OPRK1	CCR2	0.8354005520686607	
OPRK1	PYY	0.833320481754769	
OPRM1	CXCL11	0.8407682499807351	
OPRM1	P2RY14	0.8354005520686607	
OPRM1	CCR3	0.8354005520686607	
OPRD1	CCL28	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GABBR1	0.8638247395845513	
OPRM1	rs9479757	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
OPRM1	NPW	0.8407682499807351	
OPRK1	GALR1	0.8252219011119977	
CYP2E1	rs2070673	0.99	
OPRM1	FPR2	0.8354005520686607	
OPRD1	TAS2R43	0.8354005520686607	
OPRK1	CCR6	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	IGDCC4	0.8638247395845513	
OPRM1	TAS2R4	0.8354005520686607	
OPRK1	TAS2R31	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4	0.99	
OPRK1	TAS2R38	0.8354005520686607	
OPRK1	ANXA1	0.8459813396079446	
Desflurane	ATP5D	1	
OPRK1	P2RY13	0.8354005520686607	
OPRK1	TAS2R39	0.8354005520686607	
OPRM1	INSL5	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PF4V1	0.8638247395845513	
OPRK1	PPBP	0.8407682499807351	
ATP5D	ATP5I	0.8294526363440686	
OPRK1	FPR3	0.8354005520686607	
CYP3A	rs12721627	0.9320653479069899	
OPRD1	NPBWR1	0.8354005520686607	
OPRK1	CCL19	0.8407682499807351	
OPRK1	NPB	0.8407682499807351	
OPRK1	GNB1	0.8526462282435747	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.99	
GRIA1	SEC23IP	0.857962761909534	
OPRD1	CCR7	0.8354005520686607	
MT-ND1	NDUFB6	0.8478585989808651	
OPRM1	CXCL3	0.8407682499807351	
OPRD1	TAS2R38	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*36, CYP2D6*4, CYP2D6*40, CYP2D6*42, CYP2D6*4xN, CYP2D6*56	0.99	
OPRM1	TAS2R8	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
OPRD1	NPY4R	0.8252219011119977	
GRIA1	GRIP1	0.8392126544448786	
Sevoflurane	ATP5D	1	
CYP2B6	rs12721655	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ST13	0.8638247395845513	
CYP2A6	CYP2A6*15, CYP2A6*1A, CYP2A6*21, CYP2A6*22	0.99	
OPRM1	ADORA3	0.8354005520686607	
OPRM1	GPR17	0.8252219011119977	
OPRD1	NPBWR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DERL1	0.8638247395845513	
OPRM1	GNAT2	0.8561119909626079	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ATM	0.8638247395845513	
OPRM1	TAS2R1	0.8354005520686607	
OPRD1	AGT	0.8407682499807351	
Desflurane	MT-ND1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	uniprotkb:P01857	0.8638247395845513	
OPRM1	GRM2	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	THRAP3	0.8638247395845513	
OPRM1	GPR55	0.8354005520686607	
OPRM1	HRH3	0.8354005520686607	
GRIA1	PRKCG	0.833320481754769	
OPRM1	TAS2R39	0.8354005520686607	
OPRM1	P2RY4	0.8354005520686607	
OPRD1	HTR1F	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*4	0.99	
MT-ND1	NDUFA12	0.8370620429147057	
OPRD1	CCL25	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.8638247395845513	
OPRM1	CCR7	0.8354005520686607	
OPRK1	GNAI3	0.8526462282435747	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NCOA3	0.8638247395845513	
CYP2B6	rs8192709	0.99	
APOC1	rs429358	0.8551864921887058	
OPRM1	CCL28	0.8407682499807351	
CYP2D6	CYP2D6*10, CYP2D6*14, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6, CYP2D6*7	0.99	
OPRK1	SUCNR1	0.8354005520686607	
OPRD1	DRD3	0.8354005520686607	
CYP2E1	CYP2E1*1A, CYP2E1*5B	0.99	
OPRD1	TAS2R42	0.8354005520686607	
CYP2D6	rs76088846	0.99	
OPRD1	RXFP4	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.8638247395845513	
OPRM1	CXCR3	0.8354005520686607	
OPRK1	FPR2	0.8354005520686607	
OPRM1	HTR5A	0.8354005520686607	
CYP3A4	rs2740574	0.99	
GRIA1	rs4958381	0.99	
OPRM1	CCR4	0.8354005520686607	
OPRD1	GABBR2	0.8252219011119977	
OPRK1	HCAR3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SH3BP5	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.8638247395845513	
CYP2E1	rs2515641	0.99	
CYP2D6	CYP2D6*1, CYP2D6*100, CYP2D6*101, CYP2D6*13, CYP2D6*2, CYP2D6*31, CYP2D6*4, CYP2D6*5, CYP2D6*69	0.99	
OPRM1	S1PR2	0.8252219011119977	
GRIA1	TRAPPC3	0.8526462282435747	
CYP2A6	rs5031016	0.99	
OPRK1	DRD4	0.8354005520686607	
rs2740574	CYP3A	0.9043820750088043	
OPRK1	CXCL16	0.8407682499807351	
OPRK1	TAS2R3	0.8354005520686607	
OPRM1	GNAI3	0.864131010283043	
MT-ND1	NDUFV2	0.8370620429147057	
OPRK1	HTR1E	0.8354005520686607	
CYP2A6	CYP2A6*10, CYP2A6*11, CYP2A6*18A, CYP2A6*19, CYP2A6*1A, CYP2A6*4A, CYP2A6*4C, CYP2A6*7, CYP2A6*9A	0.99	
OPRK1	GPR18	0.8354005520686607	
OPRK1	TAS2R9	0.8354005520686607	
APOC1	rs7412	0.8551864921887058	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.8638247395845513	
OPRK1	PMCH	0.8407682499807351	
OPRM1	CXCR5	0.8354005520686607	
OPRD1	GPR17	0.8252219011119977	
OPRM1	DRD4	0.8354005520686607	
OPRM1	TAS2R16	0.8354005520686607	
ATP5D	MT-ATP8	0.8294526363440686	
OPRD1	GRM4	0.8252219011119977	
Sevoflurane	KCNA1	1	
ALB	FABP6	0.8421959353175904	
OPRM1	AGT	0.8407682499807351	
CYP3A4	rs28371759	0.8775210229989678	
OPRD1	TAS2R40	0.8354005520686607	
OPRM1	CXCL5	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR8D2	0.9111202792312738	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NPHS1	0.8638247395845513	
OPRK1	AGTR2	0.8354005520686607	
OPRK1	NPY1R	0.8252219011119977	
OPRM1	GNB1	0.8631759289499149	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCED1B	0.8638247395845513	
CYP3A4	rs4646437	0.8775210229989678	
CYP3A4	rs3735451	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.8638247395845513	
OPRK1	S1PR5	0.8252219011119977	
OPRD1	CCR5	0.8354005520686607	
OPRD1	CXCL1	0.8407682499807351	
CYP2B6	CYP2B6*1, CYP2B6*4, CYP2B6*5, CYP2B6*6, CYP2B6*7	0.99	
OPRK1	CCL23	0.8407682499807351	
CYP2D6	CYP2D6*1, CYP2D6*11, CYP2D6*12, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*59, CYP2D6*62, CYP2D6*7, CYP2D6*8	0.99	
OPRK1	APP	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFB	0.8638247395845513	
OPRK1	ADORA1	0.8354005520686607	
OPRK1	CCR8	0.8354005520686607	
OPRM1	ADRA2C	0.8252219011119977	
OPRK1	APLNR	0.8354005520686607	
OPRK1	PENK	0.8436671950788296	
OPRD1	MCHR2	0.8354005520686607	
Sevoflurane	ATP2C1	1	
CYP3A4	rs4987161	0.9509900498999999	
GRIA1	SEC13	0.857962761909534	
GRIA1	CNIH2	0.8613624031789913	
CYP2D6	rs28360521	0.99	
OPRD1	GNAT3	0.8526462282435747	
OPRK1	GNAT3	0.8526462282435747	
OPRK1	CXCL5	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PALB2	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HP	0.8638247395845513	
OPRM1	MCHR1	0.8354005520686607	
OPRK1	BDKRB2	0.8354005520686607	
OPRK1	P2RY4	0.8354005520686607	
OPRK1	SSTR5	0.8354005520686607	
OPRM1	TAS2R13	0.8354005520686607	
OPRD1	GRM7	0.8252219011119977	
GRIA1	CD59	0.8580060915991022	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTAGE5	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDC45	0.8638247395845513	
CYP2B6	CYP2B6*27, CYP2B6*28	0.99	
MT-ND1	NDUFB8	0.8433517079273392	
OPRM1	S1PR1	0.8252219011119977	
GRIA1	SERPINA1	0.8580060915991022	
rs2740574	CYP3A4	0.92274469442792	
OPRD1	PNOC	0.8407682499807351	
CYP2A6	rs8192720	0.99	
OPRM1	NMUR2	0.8421959353175904	
Sevoflurane	ALB	1	
OPRK1	GPR17	0.8252219011119977	
OPRK1	HCAR1	0.8354005520686607	
OPRD1	NPY	0.833320481754769	
OPRD1	CCR10	0.8354005520686607	
OPRK1	PPY	0.833320481754769	
OPRM1	CCL21	0.8407682499807351	
OPRK1	RXFP3	0.8354005520686607	
Sevoflurane	CYP3A4	1	
OPRD1	TAS2R30	0.8354005520686607	
CYP3A4	rs28371759	0.9509900498999999	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*21, CYP2D6*36, CYP2D6*4, CYP2D6*5	0.99	
OPRD1	CHRM4	0.8354005520686607	
OPRM1	CNR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLA2G4F	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DICER1	0.8638247395845513	
OPRM1	HTR1E	0.8354005520686607	
MT-ND1	NDUFV1	0.8370620429147057	
OPRK1	S1PR3	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA4	0.8638247395845513	
OPRK1	OPRL1	0.8354005520686607	
OPRM1	PYY	0.833320481754769	
OPRM1	HRH4	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*1xN	0.99	
OPRD1	CXCL10	0.8407682499807351	
OPRM1	NPY2R	0.8252219011119977	
OPRM1	GNG2	0.8631759289499149	
CYP3A4	rs56324128	0.99	
OPRK1	PF4	0.8407682499807351	
CYP2B6	rs4802101	0.99	
CYP3A4	rs28371759	0.99	
CYP3A4	CYP3A4*1, CYP3A4*22	0.99	
OPRK1	HTR1D	0.8354005520686607	
MT-ND1	NDUFC1	0.8433517079273392	
OPRD1	CXCL11	0.8407682499807351	
GRIA1	GORASP1	0.842023951637581	
OPRM1	CXCR2	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
CYP2E1	rs2070676	0.99	
GRIA1	F5	0.8580060915991022	
CYP2A6	rs8192726	0.99	
CYP2B6	rs8192719	0.99	
OPRM1	CCL20	0.8407682499807351	
OPRM1	C3	0.8407682499807351	
OPRD1	ANXA1	0.8459813396079446	
GRIA1	CNIH1	0.8580060915991022	
OPRK1	CXCR1	0.8354005520686607	
OPRM1	KNG1	0.8407682499807351	
CYP2D6	CYP2D6*1, CYP2D6*47, CYP2D6*49, CYP2D6*50, CYP2D6*51, CYP2D6*54, CYP2D6*55, CYP2D6*57, CYP2D6*72, CYP2D6*89, CYP2D6*92, CYP2D6*93, CYP2D6*96	0.99	
MT-ND1	NDUFV3	0.8370620429147057	
OPRD1	RXFP3	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*5, CYP2D6*8	0.99	
CYP2A6	CYP2A6*10, CYP2A6*19, CYP2A6*1A, CYP2A6*1B1, CYP2A6*1X2B, CYP2A6*2, CYP2A6*20, CYP2A6*24A, CYP2A6*26, CYP2A6*27, CYP2A6*4A, CYP2A6*7, CYP2A6*9A	0.99	
OPRM1	S1PR5	0.8252219011119977	
OPRM1	TAS2R60	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SORBS3	0.8638247395845513	
CYP2D6	rs371793722	0.99	
CYP3A4	rs2740574	0.8775210229989678	
OPRK1	HEBP1	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	MYL4	0.8638247395845513	
GRIA1	TRAPPC6B	0.8526462282435747	
OPRM1	TAS2R45	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*38, CYP2D6*4, CYP2D6*5, CYP2D6*9	0.99	
OPRD1	S1PR1	0.8252219011119977	
RYR2	rs2819742	0.8551864921887058	
OPRD1	SAA1	0.8407682499807351	
OPRK1	TAS2R16	0.8354005520686607	
MT-ND1	ECSIT	0.8484307441293273	
OPRK1	GPER1	0.8354005520686607	
rs12721627	CYP3A4	0.96059601	
OPRD1	rs529520	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.8638247395845513	
OPRK1	INSL5	0.8407682499807351	
OPRK1	CCR4	0.8354005520686607	
OPRK1	HTR1B	0.8354005520686607	
MT-ND1	MT-ND2	0.8478585989808651	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT16	0.8638247395845513	
OPRD1	NMS	0.8407682499807351	
OPRD1	PDYN	0.8436671950788296	
OPRM1	HTR1A	0.8354005520686607	
OPRK1	NPY4R	0.8252219011119977	
MT-ND1	NDUFA8	0.8433517079273392	
OPRD1	ADRA2C	0.8252219011119977	
OPRK1	GALR2	0.8252219011119977	
OPRM1	CCR9	0.8354005520686607	
ATP5D	ATP5L	0.8294526363440686	
OPRD1	C5AR1	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9135172474836407	
OPRM1	HCAR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR3A2	0.8638247395845513	
GRIA1	TRAPPC2	0.8526462282435747	
OPRK1	NPY5R	0.8252219011119977	
OPRK1	CXCR3	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9509900498999999	
OPRD1	C3AR1	0.8354005520686607	
OPRK1	PTGER3	0.8252219011119977	
CYP2B6	rs3745274	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT14	0.8638247395845513	
OPRD1	HEBP1	0.8407682499807351	
OPRD1	GRM2	0.8252219011119977	
OPRK1	CCR9	0.8354005520686607	
OPRD1	TAS2R8	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.8638247395845513	
OPRM1	ADRA2B	0.8252219011119977	
CYP3A4	rs2246709	0.8775210229989678	
OPRD1	SSTR5	0.8354005520686607	
OPRK1	CXCL9	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA1551	0.8638247395845513	
Sevoflurane	GABRA1	1	
Desflurane	ALB	1	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
GRIA1	SEC24B	0.8619307007599862	
OPRK1	RXFP4	0.8354005520686607	
OPRM1	CXCL6	0.8459813396079446	
OPRD1	APLN	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ADRA1B	0.8638247395845513	
MT-ND1	NDUFB7	0.8433517079273392	
OPRM1	BDKRB1	0.8354005520686607	
OPRK1	CCL21	0.8407682499807351	
OPRD1	TAS2R4	0.8354005520686607	
OPRD1	FPR1	0.8354005520686607	
OPRM1	GRM4	0.8252219011119977	
CYP3A	rs12721627	0.8953382542587163	
OPRD1	PTGER3	0.8252219011119977	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9135172474836407	
OPRD1	CXCL13	0.8407682499807351	
OPRD1	GPR55	0.8354005520686607	
OPRD1	HRH3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	LAT	0.8638247395845513	
OPRM1	CASR	0.8354005520686607	
OPRK1	TAS2R60	0.8354005520686607	
GRIA1	SAR1B	0.8557214641066988	
OPRD1	TAS2R41	0.8354005520686607	
OPRD1	TAS2R20	0.8354005520686607	
OPRM1	GRM7	0.8252219011119977	
OPRK1	CXCL1	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.8638247395845513	
CYP3A4	rs4646440	0.9509900498999999	
OPRD1	NPW	0.8407682499807351	
MT-ND1	NDUFS6	0.8370620429147057	
OPRD1	HTR5A	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
OPRK1	NPBWR2	0.8354005520686607	
ITGA2	rs1062535	0.8551864921887058	
OPRK1	GALR3	0.8252219011119977	
OPRM1	SSTR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP2	0.8638247395845513	
OPRM1	RXFP3	0.8354005520686607	
OPRD1	NPY5R	0.8252219011119977	
OPRK1	GRM7	0.8252219011119977	
ATP5D	ATP5G2	0.8294526363440686	
MT-ND1	NDUFA10	0.8433517079273392	
CYP3A4	rs2242480	0.9135172474836407	
OPRM1	rs544093	0.99	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TRAPPC11	0.8638247395845513	
GRIA1	TMED10	0.8580060915991022	
