STAT3	Interstitial lung and liver disease	
CCR8	airway disease	
CCR1	airway disease	
VEGFA	stage, non-small cell lung cancer	
IFNG	Interstitial lung and liver disease	
CXCR4	airway disease	
CSF2	stage, non-small cell lung cancer	
IL2RA	Interstitial lung and liver disease	
AKT1	stage, non-small cell lung cancer	
C3	airway disease	
CCR3	airway disease	
CXCR2	airway disease	
IL4	Interstitial lung and liver disease	
EGFR	stage, non-small cell lung cancer	
CCR4	airway disease	
KRAS	stage, non-small cell lung cancer	
CCL5	airway disease	
PTGDR2	airway disease	
CXCL8	airway disease	
ERBB2	stage, non-small cell lung cancer	
FGFR1	stage, non-small cell lung cancer	
TAS2R38	airway disease	
HCAR2	OXER1	0.8252219011119977	
FGF2	SPTB	0.853898073011433	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.8638247395845513	
EGFR	TGOLN2	0.8628338709774962	
Vandetanib	ABCC1	1	
HCAR2	FPR3	0.8354005520686607	
FGF1	FGF23	0.8711480470000197	
FCGR2A	P0CG06	0.8622716890165686	
Clopidogrel	CYP2B6	1	
HCAR2	GNAT3	0.8526462282435747	
P2RY12	PPY	0.833320481754769	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B	0.99	
FCGR2A	IGHG4	0.8614909610942352	
EGFR	rs2293347	0.99	
MET	IRS2	0.8372883840480309	
MET	SHC1	0.8650626804709197	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.8638247395845513	
FGF1	KL	0.8694322300861046	
PDGFRA	EREG	0.847975029345742	
KDR	SHB	0.8665296810183852	
FCGR2A	CD247	0.8580060915991022	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NPHS1	0.8638247395845513	
FCGR1A	IGKC	0.8622716890165686	
FCGR3A	IGKV3-15	0.8631759289499149	
PTK6	ARAP1	0.8310189406311155	
CYP2C9	CYP2C9*1, CYP2C9*11, CYP2C9*2, CYP2C9*3, CYP2C9*5, CYP2C9*6	0.99	
P2RY12	GALR1	0.8252219011119977	
Trastuzumab	C1QA	1	
CYP3A4	rs3735451	0.8775210229989678	
FGF1	KLB	0.8692585535623065	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.8638247395845513	
CYP2B6	CYP2B6*1, CYP2B6*4, CYP2B6*5, CYP2B6*6, CYP2B6*7	0.99	
FCGR2A	IGLC7	0.8622716890165686	
ABCG2	rs45605536	0.99	
rs2070959	UGT1A7	0.8863848717161291	
FCGR1A	IGHV4-59	0.8622716890165686	
EGFR	DIAPH1	0.8197146809151086	
MET	FGF7	0.847975029345742	
HCAR2	DRD4	0.8354005520686607	
P2RY12	CXCR5	0.8354005520686607	
FGF1	RAPGEF2	0.8513157657742707	
EGFR	DLG4	0.8435102388865442	
EGFR	VAMP2	0.8628338709774962	
ABCB1	rs3842	0.99	
VEGFA	ELMO2	0.7983096722548423	
P2RY12	CCL20	0.8407682499807351	
KDR	SH2D2A	0.8588236184081405	
FGF1	GFRA4	0.855946747881349	
FGF1	SHC1	0.8690126478566949	
ERBB2	RANBP9	0.8281207788973212	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PALB2	0.8638247395845513	
UGT1A9	rs3832043	0.9509900498999999	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9135172474836407	
UGT1A9	rs72551330	0.8953382542587163	
FCGR3A	P80362	0.8631759289499149	
CYP2B6	CYP2B6*27, CYP2B6*28	0.99	
EGFR	TRIP10	0.863443159858049	
HCAR3	CXCL16	0.8407682499807351	
KDR	AXL	0.850491991613676	
CYP2C19	CYP2C19*1, CYP2C19*2	0.99	
EGFR	RASGRP1	0.8372883840480309	
EGFR	SYT9	0.8628338709774962	
HCAR2	HTR1A	0.8354005520686607	
HCAR2	CXCL9	0.8407682499807351	
PDGFRA	PIK3R1	0.8656414349454913	
ERBB4	FGF16	0.8632846785253419	
P2RY12	HRH4	0.8354005520686607	
ITK	LAT	0.8631759289499149	
EGFR	CD3G	0.8628338709774962	
JAK3	IL2	0.8648592363441413	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLA2G4F	0.8638247395845513	
ERBB2	MEMO1	0.8319100629186602	
MET	RASGRF1	0.8281207788973212	
P2RY12	NMUR2	0.8421959353175904	
EGFR	FGF10	0.8619307007599862	
rs10929303	UGT1A1	0.92274469442792	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA4	0.8638247395845513	
NRG1	rs13250975	0.8568657274904503	
Lapatinib	EGFR	1	
P2RY12	TAS2R7	0.8354005520686607	
FGF1	NRAS	0.8680533572816113	
FCGR3A	IGHV4-59	0.8631759289499149	
HCAR2	HTR5A	0.8354005520686607	
KIT	KL	0.8435102388865442	
FCGR1A	IGLV3-1	0.8622716890165686	
EGFR	GRIN1	0.8435102388865442	
JAK1	IFNA8	0.8622496297868503	
FGF1	CAMK2A	0.853898073011433	
CYP3A4	rs28371759	0.99	
ERBB2	FGF17	0.8655209368590407	
ABCB1	rs4728709	0.99	
EGFR	VAMP7	0.8628338709774962	
HCAR2	HRH4	0.8354005520686607	
HCAR3	ADRA2C	0.8252219011119977	
HCAR2	APLN	0.8407682499807351	
FCGR3A	IGKV1-16	0.8631759289499149	
PDGFRA	SHC1	0.8601235081501506	
PDGFRA	HGF	0.8372883840480309	
P2RY12	HRH3	0.8354005520686607	
FCGR3A	IGKV1D-39	0.8631759289499149	
FCGR3A	IGKV1-5	0.8631759289499149	
HCAR3	CCL5	0.8407682499807351	
HCAR2	NMS	0.8407682499807351	
JAK2	STAT6	0.8496066018949794	
PTK6	NRG4	0.8633557898536034	
JAK2	TYK2	0.8541037391936209	
FGF2	IRS2	0.8638403979636339	
ERBB2	FGF5	0.8638403979636339	
FGF2	SPTBN5	0.853898073011433	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3	0.99	
P2RY12	CXCR4	0.8354005520686607	
P2RY12	P2RY12 A, P2RY12 F	0.99	
FCGR2A	IGHV3-23	0.8622716890165686	
VEGFA	KDR	0.8695419162896381	
P2RY12	TAS2R8	0.8354005520686607	
CYP3A4	rs2740574	0.8775210229989678	
KDR	HSP90AA1	0.8625501908282859	
FGF2	NRG4	0.8651659866513213	
FGF2	KITLG	0.8638403979636339	
Osimertinib	EGFR	1	
CYP2D6	CYP2D6*1, CYP2D6*38, CYP2D6*4, CYP2D6*5, CYP2D6*9	0.99	
HCAR2	CXCL16	0.8407682499807351	
HCAR2	NPY4R	0.8252219011119977	
UGT1A1	rs8175347	0.9135172474836407	
KIT	BTC	0.847975029345742	
rs12721627	CYP3A4	0.96059601	
FGF2	ERBB3	0.8638403979636339	
JAK3	JAK2	0.8554315896386415	
UGT1A	rs10929303	0.8953382542587163	
FCGR3A	IGKV3-20	0.8631759289499149	
FGF2	RASGRF2	0.853898073011433	
P2RY12	S1PR5	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.8638247395845513	
JAK2	CSF2RB	0.8659427526468915	
FCGR1A	V4-6	0.8622716890165686	
EGFR	BIN1	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT16	0.8638247395845513	
FCGR3A	IGLV2-23	0.8631759289499149	
FGF1	PIK3CB	0.8584669291223378	
HCAR2	DRD3	0.8354005520686607	
HCAR2	SST	0.8407682499807351	
HCAR3	GNB1	0.8526462282435747	
P2RY12	HCAR1	0.8354005520686607	
P2RY12	CCL16	0.8407682499807351	
EGFR	IL2RA	0.8435102388865442	
Crizotinib	ALK	1	
FGF1	FGFR3	0.8697191396321272	
PDGFRB	FGF3	0.855946747881349	
HCAR3	P2RY12	0.8354005520686607	
CYP1A2	rs762551	0.99	
FCGR2A	IGKV1D-12	0.8622716890165686	
P2RY12	TAS2R46	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
JAK2	JAK2	0.8706048973867822	
HCAR2	CCR10	0.8354005520686607	
rs6759892	UGT1A6	0.8687458127689781	
UGT1A1	rs4148323	0.9509900498999999	
VEGFA	SH2D2A	0.8588236184081405	
SLCO1B1	rs11045872	0.99	
P2RY12	PTGER3	0.8252219011119977	
FGF1	DLG4	0.853898073011433	
FGF2	PSPN	0.855946747881349	
FGF1	KRAS	0.8680533572816113	
JAK1	STAT2	0.8635627239806679	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
P2RY12	NPY4R	0.8252219011119977	
FCGR3A	V1-7	0.8631759289499149	
P2RY12	ADORA1	0.8354005520686607	
HCAR2	CCL16	0.8407682499807351	
JAK2	CAMK2G	0.8354005520686607	
UGT1A	rs8330	0.9702989999999999	
FCGR2A	V1-13	0.8622716890165686	
FCGR3A	V2-15	0.8631759289499149	
CYP2C8	rs1113129	0.99	
EGFR	SPTBN4	0.8435102388865442	
ERBB4	CAMK2D	0.8281207788973212	
PDGFRB	FGFR1	0.8435102388865442	
ABCG2	rs2725252	0.99	
Trastuzumab Emtansine	CYP3A4	1	
JAK1	IL3RA	0.8281207788973212	
HCAR3	LPAR2	0.8252219011119977	
EGFR	ARRB1	0.863443159858049	
EGFR	HIP1R	0.8628338709774962	
HCAR2	HEBP1	0.8407682499807351	
KDR	SRC	0.8684977548176123	
FGF2	ANGPT1	0.853898073011433	
HCAR3	CCL23	0.8407682499807351	
ABCB1	rs10267099	0.99	
ERBB4	FRS3	0.847975029345742	
FCGR3A	V1-20	0.8631759289499149	
FGF1	FGF16	0.8708622950297722	
Pazopanib	SH2B3	1	
HCAR2	GALR3	0.8252219011119977	
UGT1A1	rs4124874	0.9509900498999999	
PTK6	NRG2	0.8633557898536034	
CYP3A4	rs56324128	0.9509900498999999	
FCGR2A	IGKV2D-30	0.8622716890165686	
FCGR1A	IGKV1-12	0.8622716890165686	
FGF2	PDGFB	0.8638403979636339	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCDH1	0.8638247395845513	
ERBB4	CAMK2A	0.8281207788973212	
P2RY12	CCR7	0.8354005520686607	
EGFR	rs712829	0.99	
EGFR	APOB	0.8628338709774962	
FGFR3	FGF17	0.8697191396321272	
HCAR3	GPR55	0.8354005520686607	
ERBB2	GRB2	0.8697152928528973	
FGF1	FGF20	0.8711387031818277	
FLT4	rs307826	0.99	
KDR	PIK3R2	0.8468891025876341	
P2RY12	MCHR1	0.8354005520686607	
MET	DLG4	0.8281207788973212	
VEGFA	PIK3R2	0.8468891025876341	
KIT	FGF7	0.8435102388865442	
FGF1	FGF7	0.8696667004465806	
ERBB2	GRIN2D	0.8281207788973212	
ERBB4	IL5	0.8281207788973212	
JAK1	CAMK2D	0.8354005520686607	
ITGA2	rs1126643	0.8551864921887058	
FGF1	UBB	0.8496066018949794	
HCAR2	SSTR5	0.8354005520686607	
ABCC1	rs119774	0.99	
UGT1A9	rs6714486	0.8953382542587163	
Pazopanib	UGT1A1	1	
SLCO1B1	rs4149081	0.99	
FCGR2A	IGKV3-20	0.8622716890165686	
Sirolimus	ABCB1	1	
HCAR2	P2RY13	0.8354005520686607	
FCGR2A	V4-2	0.8622716890165686	
P2RY12	TAS2R4	0.8354005520686607	
MTOR	RRAGA	0.860731353523066	
HCAR3	NMUR1	0.8354005520686607	
ERBB4	ARTN	0.8372883840480309	
P2RY12	TAS2R38	0.8354005520686607	
Crizotinib	MET	1	
CYP2C9	rs1934969	0.99	
CYP3A4	rs4987161	0.99	
EGFR	AP2M1	0.8664242982340606	
CYP3A	rs4987161	0.8953382542587163	
FGFR3	ERBB3	0.8435102388865442	
FCGR3A	V2-17	0.8631759289499149	
IFNGR1	JAK1	0.8593451483108672	
FCGR1A	V3-2	0.8622716890165686	
EGFR	TFRC	0.8628338709774962	
MET	HBEGF	0.853898073011433	
JAK1	CNTFR	0.8248354829013484	
ERBB2	CALM3	0.8281207788973212	
UGT1A9	rs72551344	0.9509900498999999	
FMO1	rs10912675	0.99	
ERBB2	KITLG	0.8513157657742707	
FGFR3	FGF1	0.8697191396321272	
FGF2	JAK3	0.853898073011433	
EGFR	CSF2	0.8435102388865442	
NPHS1	rs3814995	0.8551864921887058	
PDGFRB	FGF20	0.8638403979636339	
FGFR3	PDGFA	0.8435102388865442	
FGF1	IRS1	0.8638403979636339	
EGFR	SPTA1	0.8435102388865442	
HCAR3	GALR2	0.8252219011119977	
FGF1	CSF2RB	0.853898073011433	
ERBB2	CAMK2D	0.8281207788973212	
FGF1	MAPK3	0.8480904465605648	
FCGR2A	IGLV2-11	0.8622716890165686	
FGF1	PIK3CA	0.8694355050132356	
VEGFA	rs3025040	0.99	
Osimertinib	ABCG2	1	
EGFR	RANBP9	0.8435102388865442	
VEGFA	AXL	0.850491991613676	
CYP2C9	CYP2C9*1, CYP2C9*3	0.99	
FGF1	RPS27A	0.8496066018949794	
FGFR3	FGF9	0.8697191396321272	
JAK3	IL5	0.8281207788973212	
P2RY12	SSTR2	0.8354005520686607	
FGF1	EGF	0.8655209368590407	
FCGR1A	IGLV	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLAG1	0.8638247395845513	
MET	NRG4	0.8513157657742707	
FCGR1A	IGHV1-69	0.8622716890165686	
CYP2B6	rs2054675	0.99	
JAK1	IL2RA	0.8653533381672807	
PTK6	PTPN1	0.8310189406311155	
FGF2	BTC	0.8651659866513213	
ERBB2	GFRA2	0.8372883840480309	
P2RY12	PDYN	0.8407682499807351	
FCGR3A	FCGR2A	0.8580060915991022	
HCAR3	TAS2R10	0.8354005520686607	
MET	GAB1	0.8660488079702106	
HCAR2	GABBR1	0.8252219011119977	
Sirolimus	CYP3A5	1	
MET	RPS27A	0.8539671061984366	
FGFR3	FGF18	0.8695359114942509	
FCGR1A	IGKV5-2	0.8622716890165686	
EGFR	GRIN2B	0.8435102388865442	
FGF1	GFRA1	0.855946747881349	
FGFR3	FGFR1	0.8513157657742707	
FGF2	CD86	0.8513157657742707	
P2RY12	S1PR4	0.8252219011119977	
FGF2	ERBB4	0.8651659866513213	
FGF2	FGF23	0.8711133509521624	
P2RY12	PMCH	0.8407682499807351	
VEGFA	rs9369421	0.99	
JAK1	STAT5A	0.8556642356373598	
HCAR2	S1PR2	0.8252219011119977	
KDR	ITGAV	0.8557214641066988	
EGFR	FGF2	0.8658423074095727	
EGFR	PDGFRB	0.853898073011433	
PDGFRA	FGF18	0.8610963123912945	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*5	0.99	
CYP19A1	rs6493497	0.99	
FGF2	PTPN11	0.8694549741539058	
FGFR3	PTPN11	0.8624448592074129	
Vandetanib	ALB	1	
FCGR1A	V5-6	0.8622716890165686	
ABCB1	ABCB1*2(PMID:11503014)	0.99	
MET	FGF20	0.8643329280224298	
PDGFRB	FGF5	0.8610963123912945	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.8638247395845513	
FLT4	rs307821	0.99	
JAK1	CSF2RA	0.8281207788973212	
ERBB2	IRS2	0.8513157657742707	
ERBB4	FGF2	0.8651659866513213	
CYP2D6	CYP2D6*1, CYP2D6*4	0.99	
Pazopanib	KIT	1	
ERBB4	FGF19	0.853898073011433	
P2RY12	CCL27	0.8407682499807351	
Trastuzumab	FCGR3A	1	
FGFR3	FGF8	0.8697191396321272	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DMD	0.8638247395845513	
EGFR	CD4	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GRAP2	0.8638247395845513	
PDGFRA	PIK3R2	0.8492966271403907	
FCGR1A	IGHV3-11	0.8622716890165686	
EGFR	CLTA	0.8658049874828022	
UGT1A1	UGT1A1*60	0.9135172474836407	
APOB	rs1367117	0.8542055322677212	
ERBB2	EREG	0.8697812988030533	
FCGR1A	IGLV2-11	0.8622716890165686	
FGF2	rs1449683	0.99	
HCAR2	TAS2R41	0.8354005520686607	
ERBB4	MEMO1	0.8319100629186602	
EGFR	IGF2R	0.8628338709774962	
FGF2	PIK3AP1	0.8513157657742707	
P2RY12	PPBP	0.8407682499807351	
MET	FGFR1	0.847975029345742	
VEGFA	rs13207351	0.99	
CYP2C9	rs9332131	0.99	
PDGFRA	FGF7	0.8435102388865442	
TEK	TEK	0.859863056777342	
UGT1A1	SLC35D1	0.792109822701367	
CYP2D6	CYP2D6*1, CYP2D6*4, CYP2D6*5	0.99	
FCGR2A	IGHG1	0.8614909610942352	
FCGR2A	V1-11	0.8622716890165686	
FGFR3	FGF16	0.8693262299655005	
FCGR2A	IGHG3	0.8614909610942352	
C1QB	C1S	0.8396144291374222	
ERBB4	EGF	0.8693100865439707	
VEGFA	rs1570360	0.99	
CYP1A2	MGST1	0.792109822701367	
MET	PTK2	0.860584881066379	
FGF1	PDGFRA	0.8638403979636339	
PTK6	DOK1	0.8310189406311155	
FGF2	PIK3CB	0.8584669291223378	
HCAR2	TAS2R8	0.8354005520686607	
ABCG2	rs2231137	0.99	
HCAR2	ANXA1	0.8459813396079446	
ABCC1	rs246240	0.99	
MET	GRIN2A	0.8281207788973212	
FGF1	CD86	0.8513157657742707	
EGFR	FRS2	0.8643329280224298	
rs2740574	CYP3A	0.9414801494009999	
ERBB2	ARTN	0.8372883840480309	
JAK2	SOCS3	0.8556066374180984	
EGFR	STAM	0.8665370616181098	
KIT	FGFR2	0.8435102388865442	
P2RY12	CCR5	0.8354005520686607	
FGFR3	GFRA3	0.8281207788973212	
FKBP1A	ARHGEF18	0.8294526363440686	
PDGFRB	NRG4	0.847975029345742	
FGF2	LAT	0.853898073011433	
Tofacitinib	ALB	1	
KIT	SOS1	0.8679572945736581	
HCAR2	TAS2R40	0.8354005520686607	
ERBB4	IL2RA	0.8281207788973212	
ERBB4	ANGPT1	0.8281207788973212	
rs6759892	UGT1A8	0.8687458127689781	
CYP19A1	rs2289105	0.99	
FGF2	FYN	0.8632846785253419	
Trastuzumab	FCGR3B	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC3	0.8638247395845513	
MET	FGF8	0.8643329280224298	
MTOR	AKT1	0.8628338709774962	
EGFR	IL5RA	0.8435102388865442	
FGFR3	EREG	0.853898073011433	
C1R	C1S	0.8405811189288911	
Trastuzumab	EGFR	1	
UGT1A1	rs4124874	0.9135172474836407	
EGFR	CLTB	0.8654065929327814	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CAMTA1	0.8638247395845513	
CYP19A1	rs1062033	0.99	
NRG1	rs17716295	0.8568657274904503	
EGFR	JAK1	0.8435102388865442	
ERBB2	FGF9	0.8655209368590407	
Afatinib	EGFR	1	
Clopidogrel	CYP3A4	1	
FGF2	LCK	0.8513157657742707	
HCAR2	NPY	0.833320481754769	
JAK1	IL2	0.8653533381672807	
CYP3A4	rs3735451	0.99	
FGF1	GRIN2B	0.853898073011433	
VEGFA	ELMO1	0.7983096722548423	
FGF2	CSF2RB	0.853898073011433	
EGFR	HSP90AA1	0.8697543949905541	
HCAR3	S1PR4	0.8252219011119977	
ERBB4	RET	0.8372883840480309	
Clopidogrel	CYP2C8	1	
FGFR3	MET	0.847975029345742	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*4xN, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.8638247395845513	
MTOR	PRKAG3	0.849809014912932	
ERBB2	FGFR2	0.855946747881349	
HCAR3	CCR9	0.8354005520686607	
SLCO1B1	SLCO1B1*1, SLCO1B1*2	0.99	
UGT1A9	rs17868320	0.9509900498999999	
ABCB1	rs4148738	0.99	
FGF2	PIK3CD	0.8513157657742707	
FGFR3	FRS2	0.8681892729053665	
PDGFRB	FGF8	0.8638403979636339	
HCAR3	TAS2R40	0.8354005520686607	
EGFR	HIP1	0.8628338709774962	
HCAR3	PTGER3	0.8252219011119977	
FCGR3A	IGHV	0.8631759289499149	
HCAR3	HTR1F	0.8354005520686607	
FGF2	FGF18	0.8708258844967041	
FGF1	FGF10	0.870531914693077	
ERBB4	GRB2	0.869610251788601	
ABCC1	rs2238476	0.99	
JAK2	SRC	0.8499089801634054	
ABCG2	rs2231135	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.8638247395845513	
FGFR3	KLB	0.8513157657742707	
FCGR1A	IGHV3-13	0.8622716890165686	
FCGR2A	IGLV	0.8622716890165686	
FCGR3A	VAV3	0.8468891025876341	
ITK	LCP2	0.8617879888471688	
FCGR1A	IGLC7	0.8622716890165686	
FCGR2A	IGHV4-59	0.8622716890165686	
JAK3	GRB2	0.868159876904875	
FCGR2A	IGKV1D-33	0.8622716890165686	
JAK2	JAK1	0.8679978761878211	
FGF1	PIK3R1	0.8698411176492354	
FGF2	PTPRA	0.853898073011433	
HCAR3	ADRA2B	0.8252219011119977	
FGF1	ICOS	0.853898073011433	
MET	MET	0.8698867811701773	
MET	FGF16	0.8619307007599862	
SLCO1B1	rs4149032	0.99	
Lapatinib	ABCB1	1	
HCAR3	CXCL11	0.8407682499807351	
UGT1A8	rs2070959	0.9320653479069899	
HCAR2	PTGDR2	0.8252219011119977	
FGF2	FGF6	0.8709330617456794	
FGF1	AKAP9	0.853898073011433	
FCGR1A	IGKV3-11	0.8622716890165686	
ERBB4	MET	0.8513157657742707	
EGFR	LRRK2	0.842023951637581	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.9111202792312738	
UGT1A	rs1042640	0.8953382542587163	
ERBB4	BTC	0.8697543949905541	
FCGR1A	P80362	0.8622716890165686	
ERBB4	GFRA2	0.8372883840480309	
FCGR1A	V3-3	0.8622716890165686	
P2RY12	APLNR	0.8354005520686607	
KDR	rs2071559	0.99	
FGF2	RANBP9	0.853898073011433	
CYP2B6	rs3211371	0.99	
FGF2	UBC	0.8496066018949794	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.8638247395845513	
MTOR	RRAGD	0.860731353523066	
EGFR	STON2	0.8628338709774962	
ABCC1	rs212091	0.99	
ITK	VAV3	0.8545673917919406	
KIT	FGFR3	0.8435102388865442	
P2RY12	ACKR3	0.8354005520686607	
FCGR1A	IGHV2-70	0.8622716890165686	
ABCG2	rs1061018	0.99	
ERBB2	BTC	0.8697812988030533	
FCGR1A	V2-8	0.8622716890165686	
P2RY12	CXCL12	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA0232	0.8638247395845513	
PDGFRA	CRK	0.8319100629186602	
EGFR	NCAM1	0.8435102388865442	
ERBB4	ERBB3	0.8688963772014661	
EGFR	SPTB	0.8435102388865442	
P2RY12	CXCL3	0.8407682499807351	
HCAR3	TAS2R5	0.8354005520686607	
PTK6	STAP2	0.8506801547405347	
rs10929303	UGT1A	0.9801	
FCGR1A	ELMO1	0.7983096722548423	
rs2070959	UGT1A8	0.8863848717161291	
FGF1	IL5RA	0.853898073011433	
EGFR	CD3D	0.8628338709774962	
CYP2C9	rs9332096	0.99	
MET	CAMK2A	0.8281207788973212	
HCAR2	CCL20	0.8407682499807351	
rs8330	UGT1A	0.9043820750088043	
ERBB4	KIT	0.847975029345742	
HCAR3	CCL19	0.8407682499807351	
FCGR2A	IGLV6-57	0.8622716890165686	
P2RY12	HEBP1	0.8407682499807351	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3, CYP2C19*4	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.8638247395845513	
FGF1	RASGRP4	0.8513157657742707	
HCAR2	HRH3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SACS	0.8638247395845513	
CYP2B6	rs35303484	0.99	
P2RY12	GPR17	0.8252219011119977	
PDGFRB	PIK3CB	0.8492966271403907	
KIT	LCK	0.8644439691138128	
P2RY12	GPER1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT5	0.8638247395845513	
CYP3A4	rs4646440	0.99	
HCAR3	POMC	0.8407682499807351	
CYP2C9	rs4917639	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.8638247395845513	
P2RY12	C3AR1	0.8354005520686607	
rs8330	UGT1A	0.9801	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.8638247395845513	
FGF1	ERBB2	0.8655209368590407	
HCAR3	OXGR1	0.8354005520686607	
Afatinib	ERBB4	1	
EGFR	CHRM2	0.863443159858049	
EGFR	FGF20	0.8658423074095727	
UGT1A1	rs4148323	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6B	0.8638247395845513	
rs429358	APOC1	0.829786598184209	
FGF2	DLG4	0.853898073011433	
FGFR3	FGF5	0.8693262299655005	
HCAR3	CCR8	0.8354005520686607	
MTOR	MTOR	0.8576524009695105	
JAK2	GH1	0.8676817507117323	
MET	ANGPT1	0.8281207788973212	
HCAR3	PPBP	0.8407682499807351	
KDR	rs1870377	0.99	
HCAR2	ADRA2C	0.8252219011119977	
MTOR	LAMTOR1	0.860731353523066	
HCAR2	CXCR5	0.8354005520686607	
CYP3A4	MGST3	0.792109822701367	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.8638247395845513	
P2RY12	APLN	0.8407682499807351	
JAK2	STAT5A	0.8680728053048276	
ABCB1	rs17160359	0.99	
UGT1A7	rs7586110	0.8775210229989678	
VEGFA	rs2010963	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5	0.99	
FGFR3	NRTN	0.8281207788973212	
P2RY12	TAS2R10	0.8354005520686607	
HCAR2	CCR6	0.8354005520686607	
ERBB2	CSF2RB	0.8281207788973212	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RYR2	0.8638247395845513	
FCGR2A	IGHG2	0.8614909610942352	
FCGR3A	IGLV3-27	0.8631759289499149	
HCAR2	GNAI1	0.8526462282435747	
MET	IL3RA	0.8281207788973212	
FGF1	RASGRF1	0.853898073011433	
JAK2	KIT	0.8568934182658772	
HCAR2	CCL19	0.8407682499807351	
HCAR2	CXCL5	0.8407682499807351	
PTK6	KHDRBS1	0.8392126544448786	
ERBB2	FGF16	0.8638403979636339	
FCGR1A	RAC1	0.852724204446584	
PDGFRA	KL	0.8435102388865442	
HCAR2	CCR8	0.8354005520686607	
FGF2	AKAP9	0.853898073011433	
ERBB4	NRTN	0.8372883840480309	
HCAR3	SSTR2	0.8354005520686607	
JAK1	JAK1	0.8699407879094468	
CYP19A1	rs700518	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.8638247395845513	
P2RY12	TAS2R40	0.8354005520686607	
CYP3A4	rs2740574	0.9135172474836407	
ABCB1	rs2032582	0.99	
P2RY12	FPR3	0.8354005520686607	
P2RY12	CXCL16	0.8407682499807351	
CYP1A2	rs2069514	0.99	
MET	FGF19	0.847975029345742	
FGF2	VAV1	0.8513157657742707	
FGF1	CALM3	0.853898073011433	
FCGR2A	FCGR3A	0.8580060915991022	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.8638247395845513	
PDGFRB	PDGFRB	0.8678042356150584	
GRIN1	rs1126442	0.8453590922813186	
FCGR2A	V1-3	0.8622716890165686	
