IFIH1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BTK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Autoimmune thrombocytopenia	
MAP2K1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MTHFR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAA	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PALB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Autoimmune thrombocytopenia	
ITK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFRB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CYP2C19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TCN2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
AGK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR3A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
APOE	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TYK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Autoimmune thrombocytopenia	
CYP2C9	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMACHC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MS4A1	Autoimmune thrombocytopenia	
HLA-DRB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR2A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2B	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ICOS	Autoimmune thrombocytopenia	
FCGR2C	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Autoimmune thrombocytopenia	
BCR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN22	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CSF2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
OCRL	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BRAF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TFRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ALB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
HLA-DRB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MUT	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Autoimmune thrombocytopenia	
IL3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN11	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ABL1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PNP	Autoimmune thrombocytopenia	
ICOS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Autoimmune thrombocytopenia	
STAT2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
VWF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SCARB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CFH	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PECAM1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFRB	FGFR1	0.8435102388865442	
ABCG2	rs2725252	0.99	
MAP2K1	KIAA1549	0.8535455451872151	
JAK1	IL3RA	0.8281207788973212	
EGFR	ARRB1	0.863443159858049	
KDR	SRC	0.8684977548176123	
FGF2	ANGPT1	0.853898073011433	
EGFR	HIP1R	0.8628338709774962	
ABCB1	rs10267099	0.99	
FCGR3A	V1-20	0.8631759289499149	
RET	MAPK7	0.7989062580087279	
IKBKB	RIPK2	0.8252219011119977	
Nintedanib	ABCB1	1	
FGF1	FGF16	0.8708622950297722	
LYN	GRIN2B	0.8526462282435747	
Pazopanib	SH2B3	1	
LYN	IGKV5-2	0.8574228804342738	
UGT1A1	rs4124874	0.9509900498999999	
PTK6	NRG2	0.8633557898536034	
FYN	DCC	0.8603737876371409	
CYP3A4	rs56324128	0.9509900498999999	
FCGR2A	IGKV2D-30	0.8622716890165686	
CAMK2G	AKAP9	0.8516636985739204	
SRC	CRK	0.8522475701126215	
FCGR1A	IGKV1-12	0.8622716890165686	
FGF2	PDGFB	0.8638403979636339	
FGF4	SOS1	0.8698922095722557	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCDH1	0.8638247395845513	
FGFR1	PIK3R2	0.8413177913220824	
FGFR2	GFRA1	0.8281207788973212	
RET	IRS2	0.8398120133516425	
EGFR	rs712829	0.99	
ITGA2B	RAP1B	0.8665444230442223	
EGFR	APOB	0.8628338709774962	
CD3D	PDCD1LG2	0.8086124452583398	
FGFR3	FGF17	0.8697191396321272	
ERBB2	GRB2	0.8697152928528973	
FGF1	FGF20	0.8711387031818277	
FLT4	rs307826	0.99	
KDR	PIK3R2	0.8468891025876341	
VEGFA	PIK3R2	0.8468891025876341	
KIT	FGF7	0.8435102388865442	
FGF1	FGF7	0.8696667004465806	
ERBB2	GRIN2D	0.8281207788973212	
FGFR1	MET	0.847975029345742	
JAK1	CAMK2D	0.8354005520686607	
ITGA2	rs1126643	0.8551864921887058	
IFNAR1	IFNA10	0.8634258189159196	
FGF1	UBB	0.8496066018949794	
LYN	EFNA3	0.8582609785019573	
UGT1A9	rs6714486	0.8953382542587163	
ABCC1	rs119774	0.99	
ITGB3	ITGA2B	0.8660833727688901	
Pazopanib	UGT1A1	1	
SLCO1B1	rs4149081	0.99	
FCGR2A	IGKV3-20	0.8622716890165686	
Abciximab	C1QB	1	
FCGR2A	V4-2	0.8622716890165686	
FGF4	GFRA4	0.855946747881349	
LYN	IGHV4-34	0.8574228804342738	
IFNAR2	IFNB1	0.8622496297868503	
FGFR1	GFRA1	0.8281207788973212	
CYP2C9	rs1934969	0.99	
CYP3A4	rs4987161	0.99	
EGFR	AP2M1	0.8664242982340606	
CYP3A	rs4987161	0.8953382542587163	
FCGR3A	V2-17	0.8631759289499149	
FGFR3	ERBB3	0.8435102388865442	
FCGR1A	V3-2	0.8622716890165686	
IFNGR1	JAK1	0.8593451483108672	
FYN	FGF17	0.8632846785253419	
ITGA2B	FN1	0.8661175545832356	
FGFR1	PDGFRB	0.8435102388865442	
EGFR	TFRC	0.8628338709774962	
JAK1	CNTFR	0.8248354829013484	
FGFR2	PDGFRA	0.8435102388865442	
ERBB2	CALM3	0.8281207788973212	
IKBKB	TAB1	0.8520838925573979	
UGT1A9	rs72551344	0.9509900498999999	
EPHA2	EFNB3	0.8459813396079446	
RET	PSPN	0.864908116896693	
BCR	CUX1	0.855009540709891	
SRC	EFNA2	0.8582609785019573	
STAT5B	IL3	0.8497082254156562	
FGF4	EREG	0.8651659866513213	
FGFR1	FRS3	0.8629698029978776	
FMO1	rs10912675	0.99	
ERBB2	KITLG	0.8513157657742707	
FGFR3	FGF1	0.8697191396321272	
FGF2	JAK3	0.853898073011433	
EGFR	CSF2	0.8435102388865442	
Dasatinib	ABCG2	1	
NPHS1	rs3814995	0.8551864921887058	
PDGFRB	FGF20	0.8638403979636339	
CD3D	SYT1	0.8628338709774962	
FGF1	IRS1	0.8638403979636339	
FGFR3	PDGFA	0.8435102388865442	
FGF4	NEFL	0.853898073011433	
CD3D	AP2M1	0.8666098248257992	
FGF4	IL3RA	0.853898073011433	
FGF1	CSF2RB	0.853898073011433	
EGFR	SPTA1	0.8435102388865442	
ERBB2	CAMK2D	0.8281207788973212	
LYN	EPHA4	0.8566409204013108	
Nintedanib	LYN	1	
FGF1	MAPK3	0.8480904465605648	
FCGR2A	IGLV2-11	0.8622716890165686	
Dasatinib	CYP3A5	1	
FGF1	PIK3CA	0.8694355050132356	
VEGFA	rs3025040	0.99	
FGFR2	IRS2	0.8435102388865442	
LCK	TYROBP	0.8516636985739204	
EGFR	RANBP9	0.8435102388865442	
FGFR4	IRS1	0.8435102388865442	
ABCC2	rs7917432	0.99	
VEGFA	AXL	0.850491991613676	
FGF4	UBA52	0.8496066018949794	
CYP2C9	CYP2C9*1, CYP2C9*3	0.99	
FYN	TREM2	0.8520838925573979	
FGF1	RPS27A	0.8496066018949794	
FGFR3	FGF9	0.8697191396321272	
LYN	LAT2	0.8407682499807351	
FYN	PTPRA	0.857186514138311	
FGF1	EGF	0.8655209368590407	
FGF4	PIK3R1	0.8698411176492354	
FCGR1A	IGLV	0.8622716890165686	
FCGR1A	IGHV1-69	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLAG1	0.8638247395845513	
CAMK2G	GRB2	0.8670770245481983	
CD3D	HLA-DRA	0.8626940542935567	
FGF4	FGFR2	0.8697897167142075	
Blinatumomab	CD19	1	
JAK1	IL2RA	0.8653533381672807	
YES1	PECAM1	0.8354005520686607	
PTK6	PTPN1	0.8310189406311155	
FGF2	BTC	0.8651659866513213	
CD3D	PACSIN2	0.863443159858049	
LCK	P04436	0.8637443836010867	
ERBB2	GFRA2	0.8372883840480309	
FYN	PLCG2	0.8539671061984366	
FCGR3A	FCGR2A	0.8580060915991022	
Imatinib	ALB	1	
CHUK	NFKBIE	0.8086124452583398	
FCGR1A	IGKV5-2	0.8622716890165686	
FGFR3	FGF18	0.8695359114942509	
FGFR2	IRS1	0.8435102388865442	
EGFR	GRIN2B	0.8435102388865442	
FGFR2	PDGFB	0.8435102388865442	
FGFR4	KL	0.8513157657742707	
FGF1	GFRA1	0.855946747881349	
FGFR3	FGFR1	0.8513157657742707	
FGF2	CD86	0.8513157657742707	
NTRK1	CRK	0.8491915666913814	
YES1	GRIN2B	0.8526462282435747	
FGF2	ERBB4	0.8651659866513213	
FGF2	FGF23	0.8711133509521624	
VEGFA	rs9369421	0.99	
JAK1	STAT5A	0.8556642356373598	
KDR	ITGAV	0.8557214641066988	
LYN	IGKV4-1	0.8574228804342738	
PDGFRA	FGF18	0.8610963123912945	
EGFR	PDGFRB	0.853898073011433	
EGFR	FGF2	0.8658423074095727	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*5	0.99	
CYP19A1	rs6493497	0.99	
FGF2	PTPN11	0.8694549741539058	
FGFR3	PTPN11	0.8624448592074129	
SRC	EFNA4	0.8582609785019573	
FCGR1A	V5-6	0.8622716890165686	
Vandetanib	ALB	1	
Imatinib	SLC22A1	1	
ABCB1	ABCB1*2(PMID:11503014)	0.99	
FYN	GRAP2	0.8594519690919569	
PDGFRB	FGF5	0.8610963123912945	
FLT4	rs307821	0.99	
JAK1	CSF2RA	0.8281207788973212	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.8638247395845513	
ERBB2	IRS2	0.8513157657742707	
CYP2D6	CYP2D6*1, CYP2D6*4	0.99	
Pazopanib	KIT	1	
Trastuzumab	FCGR3A	1	
FGFR3	FGF8	0.8697191396321272	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DMD	0.8638247395845513	
EGFR	CD4	0.8628338709774962	
PDGFRA	PIK3R2	0.8492966271403907	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GRAP2	0.8638247395845513	
RET	RET	0.8646701055214299	
FCGR1A	IGHV3-11	0.8622716890165686	
EGFR	CLTA	0.8658049874828022	
CD3D	LAT	0.8604043858136952	
CAMK2G	GRIN1	0.8516636985739204	
UGT1A1	UGT1A1*60	0.9135172474836407	
LYN	V1-3	0.8516636985739204	
APOB	rs1367117	0.8542055322677212	
LCK	FRS2	0.8513157657742707	
CD3D	HLA-DQB1	0.8626940542935567	
Bosutinib	MAP3K2	1	
ERBB2	EREG	0.8697812988030533	
FCGR1A	IGLV2-11	0.8622716890165686	
FGF2	rs1449683	0.99	
EGFR	IGF2R	0.8628338709774962	
FYN	KITLG	0.8652553874900422	
FGF4	FGF18	0.8708258844967041	
LYN	IGKC	0.8574228804342738	
FGF2	PIK3AP1	0.8513157657742707	
LYN	IGHV2-70	0.8574228804342738	
VEGFA	rs13207351	0.99	
CYP2C9	rs9332131	0.99	
LCK	PDCD1LG2	0.8448687443032323	
PDGFRA	FGF7	0.8435102388865442	
TEK	TEK	0.859863056777342	
FGF4	CAMK2A	0.853898073011433	
UGT1A1	SLC35D1	0.792109822701367	
Dasatinib	ABCB1	1	
CYP2D6	CYP2D6*1, CYP2D6*4, CYP2D6*5	0.99	
FCGR2A	IGHG1	0.8614909610942352	
CD3D	HLA-DRB5	0.8626940542935567	
FCGR2A	V1-11	0.8622716890165686	
FGFR3	FGF16	0.8693262299655005	
FCGR2A	IGHG3	0.8614909610942352	
LYN	V3-3	0.8516636985739204	
C1QB	C1S	0.8396144291374222	
LYN	FYN	0.868725407208192	
IRS1	rs13431554	0.8350751364976787	
VEGFA	rs1570360	0.99	
CYP1A2	MGST1	0.792109822701367	
FGF4	PIK3AP1	0.8513157657742707	
FGF2	PIK3CB	0.8584669291223378	
FGF1	PDGFRA	0.8638403979636339	
PTK6	DOK1	0.8310189406311155	
ABCG2	rs2231137	0.99	
LYN	IGHE	0.8484307441293273	
ABCC1	rs246240	0.99	
FGFR2	PIK3R2	0.8413177913220824	
CD3D	UBC	0.8628338709774962	
LCK	LCK	0.8692146792513005	
FYN	KLRK1	0.8516636985739204	
FGF1	CD86	0.8513157657742707	
BCR	PIK3CA	0.842023951637581	
EGFR	FRS2	0.8643329280224298	
FYN	KIT	0.8652553874900422	
Dasatinib	LCK	1	
FYN	EPHA1	0.8566409204013108	
rs2740574	CYP3A	0.9414801494009999	
ERBB2	ARTN	0.8372883840480309	
JAK2	SOCS3	0.8556066374180984	
EGFR	STAM	0.8665370616181098	
EPHA2	EPHA1	0.8520838925573979	
FGFR2	FGF4	0.8697897167142075	
Dasatinib	STAT5B	1	
KIT	FGFR2	0.8435102388865442	
FGFR3	GFRA3	0.8281207788973212	
CD3D	ARPC4	0.8628338709774962	
FGFR2	HRAS	0.860155337427376	
PDGFRB	NRG4	0.847975029345742	
FGF2	LAT	0.853898073011433	
KIT	SOS1	0.8679572945736581	
FYN	GRIN1	0.8567933402497072	
Pentosan Polysulfate	FGF2	1	
Sunitinib	ABCC2	1	
rs6759892	UGT1A8	0.8687458127689781	
CYP19A1	rs2289105	0.99	
FGFR4	NRG2	0.8435102388865442	
FGF2	FYN	0.8632846785253419	
LYN	IGKV2D-40	0.8574228804342738	
Trastuzumab	FCGR3B	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC3	0.8638247395845513	
Cyanocobalamin	MMACHC	1	
EGFR	IL5RA	0.8435102388865442	
C1R	C1S	0.8405811189288911	
FGFR3	EREG	0.853898073011433	
Trastuzumab	EGFR	1	
LYN	IGHV4-59	0.8574228804342738	
UGT1A1	rs4124874	0.9135172474836407	
Sunitinib	FLT1	1	
EGFR	CLTB	0.8654065929327814	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CAMTA1	0.8638247395845513	
FGF4	PTPRA	0.853898073011433	
EPHA2	EPHA7	0.8520838925573979	
LCK	TRBV12-3	0.8637443836010867	
CYP19A1	rs1062033	0.99	
NRG1	rs17716295	0.8568657274904503	
EGFR	JAK1	0.8435102388865442	
MAP2K2	MARK3	0.869230102469678	
ITGA2B	BCAR1	0.842023951637581	
ERBB2	FGF9	0.8655209368590407	
RAF1	rs11710163	0.8596431454030612	
SLC22A1	rs594709	0.99	
FYN	SPTA1	0.857186514138311	
FGF2	LCK	0.8513157657742707	
JAK1	IL2	0.8653533381672807	
CD3D	CD4	0.8676630054926229	
SRC	DCC	0.8610963123912945	
Bosutinib	CDK2	1	
CYP3A4	rs3735451	0.99	
LYN	V1-9	0.8516636985739204	
FGF1	GRIN2B	0.853898073011433	
LCK	PAG1	0.7872074365980737	
FGF4	RASGRF1	0.853898073011433	
CD3D	CLTC	0.865738626524793	
FGF2	CSF2RB	0.853898073011433	
VEGFA	ELMO1	0.7983096722548423	
FYN	SHC1	0.8665954221669026	
CHUK	FBXW11	0.8319100629186602	
EGFR	HSP90AA1	0.8697543949905541	
FGFR4	EGF	0.855946747881349	
Cyanocobalamin	MTR	1	
FGFR3	MET	0.847975029345742	
IFNG	rs2430561	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*4xN, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.8638247395845513	
FGFR1	ERBB2	0.855946747881349	
FYN	HBEGF	0.847975029345742	
FGFR2	PDGFRB	0.8435102388865442	
ERBB2	FGFR2	0.855946747881349	
SLCO1B1	SLCO1B1*1, SLCO1B1*2	0.99	
FYN	PLCG1	0.8560021777996374	
UGT1A9	rs17868320	0.9509900498999999	
ABCB1	rs4148738	0.99	
FGF2	PIK3CD	0.8513157657742707	
FGFR3	FRS2	0.8681892729053665	
PDGFRB	FGF8	0.8638403979636339	
FCGR3A	IGHV	0.8631759289499149	
EGFR	HIP1	0.8628338709774962	
SRC	NGEF	0.8351516051398434	
LYN	IGLV2-8	0.8574228804342738	
FGF2	FGF18	0.8708258844967041	
FGF1	FGF10	0.870531914693077	
ABCC1	rs2238476	0.99	
JAK2	SRC	0.8499089801634054	
FGFR2	HBEGF	0.855946747881349	
ABCG2	rs2231135	0.99	
FYN	NCK1	0.8661597525684153	
SRC	EFNA3	0.8582609785019573	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.8638247395845513	
CD3D	SCARB2	0.8621379174857935	
FGFR3	KLB	0.8513157657742707	
FCGR1A	IGHV3-13	0.8622716890165686	
FCGR2A	IGLV	0.8622716890165686	
FCGR3A	VAV3	0.8468891025876341	
FCGR1A	IGLC7	0.8622716890165686	
FCGR2A	IGHV4-59	0.8622716890165686	
ITK	LCP2	0.8617879888471688	
FGFR2	GDNF	0.8281207788973212	
FCGR2A	IGKV1D-33	0.8622716890165686	
JAK2	JAK1	0.8679978761878211	
FGF1	PIK3R1	0.8698411176492354	
FGF2	PTPRA	0.853898073011433	
YES1	EPHA6	0.8566409204013108	
FGF1	ICOS	0.853898073011433	
SLCO1B1	rs4149032	0.99	
CDK2	MCM3	0.8484307441293273	
LYN	IGKV2-30	0.8574228804342738	
UGT1A8	rs2070959	0.9320653479069899	
LCK	SH2B2	0.8351516051398434	
SRC	PDGFRB	0.842023951637581	
FGF2	FGF6	0.8709330617456794	
FGF1	AKAP9	0.853898073011433	
FCGR1A	IGKV3-11	0.8622716890165686	
PTGS1	rs10306114	0.99	
RET	GFRA2	0.8650858929664645	
EGFR	LRRK2	0.842023951637581	
FCGR1A	V3-3	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.9111202792312738	
FCGR1A	P80362	0.8622716890165686	
UGT1A	rs1042640	0.8953382542587163	
LYN	V2-19	0.8516636985739204	
KDR	rs2071559	0.99	
FGF2	RANBP9	0.853898073011433	
Nintedanib	KDR	1	
FGF2	UBC	0.8496066018949794	
Interferon Beta-1A	IFNAR1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.8638247395845513	
FGFR4	HRAS	0.860155337427376	
EGFR	STON2	0.8628338709774962	
ABCC1	rs212091	0.99	
ITK	VAV3	0.8545673917919406	
CHUK	NFKBIB	0.8407682499807351	
SRC	RAC1	0.8655615839370026	
KIT	FGFR3	0.8435102388865442	
NTRK1	NTRK1	0.8667702798833444	
LCK	CD3E	0.8637443836010867	
FGFR2	NRG4	0.853898073011433	
FCGR1A	IGHV2-70	0.8622716890165686	
ABCG2	rs1061018	0.99	
ABCC4	rs11568658	0.99	
FCGR1A	V2-8	0.8622716890165686	
ERBB2	BTC	0.8697812988030533	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA0232	0.8638247395845513	
PDGFRA	CRK	0.8319100629186602	
TPMT	TPMT*1, TPMT*3A, TPMT*3C	0.99	
EGFR	NCAM1	0.8435102388865442	
EGFR	SPTB	0.8435102388865442	
FGF4	GDNF	0.855946747881349	
LYN	IGKV1D-16	0.8574228804342738	
FGFR2	PIK3CB	0.8413177913220824	
SRC	RAP1A	0.8664849906990981	
FCGR1A	ELMO1	0.7983096722548423	
PTK6	STAP2	0.8506801547405347	
rs10929303	UGT1A	0.9801	
rs2070959	UGT1A8	0.8863848717161291	
FGF1	IL5RA	0.853898073011433	
EGFR	CD3D	0.8628338709774962	
CYP2C9	rs9332096	0.99	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3, CYP2C19*4	0.99	
rs8330	UGT1A	0.9043820750088043	
FCGR2A	IGLV6-57	0.8622716890165686	
IFNAR2	IFNA10	0.8622496297868503	
FYN	TIAM1	0.851577718501957	
SRC	EPHA4	0.8566409204013108	
FGF1	RASGRP4	0.8513157657742707	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SACS	0.8638247395845513	
FGF4	FGF4	0.8710744922438893	
CD3D	STON2	0.8628338709774962	
ABL2	SLIT2	0.842023951637581	
PDGFRB	PIK3CB	0.8492966271403907	
KIT	LCK	0.8644439691138128	
IFNAR2	IFNA13	0.8622496297868503	
CYP1A1	rs2606345	0.99	
FGFR4	GDNF	0.8281207788973212	
LYN	V3-2	0.8516636985739204	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT5	0.8638247395845513	
LCK	BTK	0.8520838925573979	
CYP3A4	rs4646440	0.99	
IKBKB	RELA	0.8576524009695105	
CYP2C9	rs4917639	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.8638247395845513	
rs8330	UGT1A	0.9801	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.8638247395845513	
FGF1	ERBB2	0.8655209368590407	
SRC	KDR	0.8684977548176123	
LYN	V4-6	0.8516636985739204	
EGFR	FGF20	0.8658423074095727	
EGFR	CHRM2	0.863443159858049	
Ruxolitinib	JAK2	1	
LCK	LCP2	0.86411620310611	
UGT1A1	rs4148323	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6B	0.8638247395845513	
YES1	KITLG	0.8639651892799458	
FGFR2	FGF2	0.8700264030078169	
rs429358	APOC1	0.829786598184209	
FGFR4	EREG	0.853898073011433	
FGF2	DLG4	0.853898073011433	
LYN	IGKV3-20	0.8574228804342738	
FGFR3	FGF5	0.8693262299655005	
JAK2	GH1	0.8676817507117323	
FYN	TRIO	0.8509568505095917	
KDR	rs1870377	0.99	
FYN	EFNA1	0.8582609785019573	
CHUK	TAB3	0.8520838925573979	
LCK	PTPN11	0.8639497875499311	
ABCC2	rs17222723	0.99	
CYP3A4	MGST3	0.792109822701367	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.8638247395845513	
JAK2	STAT5A	0.8680728053048276	
FGF4	SPTA1	0.853898073011433	
ABCB1	rs17160359	0.99	
FGF4	RASGEF1A	0.8513157657742707	
Cyanocobalamin	AMN	1	
CD3D	VAMP8	0.8628338709774962	
IKBKB	TRAF6	0.8649683315138701	
UGT1A7	rs7586110	0.8775210229989678	
VEGFA	rs2010963	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5	0.99	
Imatinib	CYP3A5	1	
FGFR3	NRTN	0.8281207788973212	
ERBB2	CSF2RB	0.8281207788973212	
FCGR2A	IGHG2	0.8614909610942352	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RYR2	0.8638247395845513	
SLC22A1	rs683369	0.99	
FCGR3A	IGLV3-27	0.8631759289499149	
CD3D	ARPC5	0.8628338709774962	
Imatinib	PDGFRA	1	
FGFR1	ERLIN2	0.8580060915991022	
FGF1	RASGRF1	0.853898073011433	
CD3D	STAM	0.8628338709774962	
JAK2	KIT	0.8568934182658772	
FCGR1A	RAC1	0.852724204446584	
IFNAR2	IFNA17	0.8622496297868503	
ERBB2	FGF16	0.8638403979636339	
PTK6	KHDRBS1	0.8392126544448786	
FGF4	BTC	0.8651659866513213	
PDGFRA	KL	0.8435102388865442	
FGF4	CD80	0.8513157657742707	
SRC	CSK	0.8534010044745616	
FGF2	AKAP9	0.853898073011433	
JAK1	JAK1	0.8699407879094468	
SLC22A1	rs12208357	0.99	
CYP19A1	rs700518	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.8638247395845513	
STAT5B	KITLG	0.8396144291374222	
CYP3A4	rs2740574	0.9135172474836407	
ABCB1	rs2032582	0.99	
CYP1A2	rs2069514	0.99	
FCGR2A	FCGR3A	0.8580060915991022	
FGF2	VAV1	0.8513157657742707	
FGF1	CALM3	0.853898073011433	
FCGR2A	V1-3	0.8622716890165686	
PDGFRB	PDGFRB	0.8678042356150584	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.8638247395845513	
GRIN1	rs1126442	0.8453590922813186	
FYN	TYROBP	0.8516636985739204	
FGF1	VAV1	0.8513157657742707	
CD3D	AVP	0.863443159858049	
KIT	FGF20	0.8638403979636339	
ABCC4	rs3742106	0.99	
ERBB2	SHC1	0.8654276678361976	
Abciximab	FCGR3A	1	
FGFR4	PIK3R1	0.8672119452406968	
IFNAR1	IFNA6	0.8634258189159196	
PDGFRB	FGF7	0.8435102388865442	
CD3D	CD3E	0.8628925940801011	
IFNGR2	STAT1	0.8541037391936209	
LCK	PIK3R1	0.8668895482508605	
FGF4	FRS3	0.8696031712506641	
rs8330	UGT1A9	0.96059601	
ITGB3	BCAR1	0.8468891025876341	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PPBP	0.8638247395845513	
CDK2	UBE2E1	0.8544371783926548	
FGFR1	HRAS	0.8611234767592315	
