B2M	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RHOA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SCARB2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
APOE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTGS2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
REN	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
OCRL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD2AP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria Adverse Event	
FABP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
VEGFA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTPN22	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INS	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NPHS1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ALB	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FGA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria Adverse Event	
HP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FN1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria Adverse Event	
HLA-DRB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
LRP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
POMC	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD80	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CTSL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DPB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INSR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria Adverse Event	
NPHS1	Proteinuria Adverse Event	
CFH	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SAA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria Adverse Event	
APOA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RET	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PPARA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DQA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SRC	GIT1	0.8570412853760152	
CFTR	SYNJ1	0.8613363396709319	
SLCO2B1	rs2306168	0.99	
AGTR1	GPR17	0.8354005520686607	
CYP3A5	CYP3A5*1A, CYP3A5*3A, CYP3A5*6, CYP3A5*7	0.99	
IKBKB	TRAF2	0.8294526363440686	
VEGFA	PXN	0.8532543843767528	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PF4V1	0.8638247395845513	
EPHA2	EPHA6	0.8520838925573979	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.818984274335209	
KIT	SH2B2	0.8351516051398434	
CYP3A	rs12721627	0.9320653479069899	
UGT1A6	rs4261716	0.8600583546412883	
FYN	FRS2	0.8601235081501506	
EPHA2	EFNA2	0.8600915199930605	
EGFR	SPTBN5	0.8435102388865442	
FYN	NTN1	0.8614909610942352	
LCK	TREM2	0.8520838925573979	
AGTR1	UTS2B	0.8407682499807351	
EGFR	LAT	0.8435102388865442	
FYN	RHOA	0.8252219011119977	
UGT1A9	rs35350960	0.9320653479069899	
EGFR	GAB1	0.8691673346667691	
TEK	GRB2	0.8676677067435474	
CFTR	RNF5	0.8558909648136892	
Etodolac	CYP2C9	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.818984274335209	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
YES1	EPHA10	0.8566409204013108	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF292	0.818984274335209	
Sulindac	AKR1B1	1	
EGFR	HBEGF	0.8697556328543028	
PPARG	MED18	0.7989062580087279	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.818984274335209	
PDPK1	CD86	0.8372883840480309	
EGFR	PTK2	0.8435102388865442	
EGFR	FGF19	0.857607030791991	
Ibuprofen	SLCO2B1	1	
EPHA2	EPHB6	0.8459813396079446	
EGFR	EPS15L1	0.866715527166346	
LCK	HLA-DRB3	0.8637443836010867	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.8638247395845513	
EGFR	TEK	0.8435102388865442	
PPARA	NCOR1	0.8294526363440686	
AGTR1	F2RL2	0.8252219011119977	
UGT1A1	rs887829	0.9320653479069899	
SLCO1B3	rs4149117	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.8638247395845513	
EGFR	TGOLN2	0.8628338709774962	
Vandetanib	ABCC1	1	
PTGDR2	MT-RNR2	0.8407682499807351	
LCK	PIK3CA	0.8668895482508605	
PTGS1	rs1330344	0.99	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B	0.99	
EGFR	rs2293347	0.99	
Flurbiprofen	UGT2B7	1	
FYN	EPHB1	0.866499965431577	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.8638247395845513	
KDR	SHB	0.8665296810183852	
RXRA	MED21	0.7989062580087279	
rs2070959	UGT1A7	0.96059601	
RXRG	CRABP2	0.8294526363440686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NPHS1	0.8638247395845513	
FYN	EFNB1	0.8664623807565615	
PTK6	ARAP1	0.8310189406311155	
CYP2C9	CYP2C9*1, CYP2C9*11, CYP2C9*2, CYP2C9*3, CYP2C9*5, CYP2C9*6	0.99	
AGTR1	AVPR1A	0.8354005520686607	
CYP3A4	rs3735451	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT1	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.8638247395845513	
AGTR1	LTB4R	0.8252219011119977	
UGT1A6	rs17863783	0.9135172474836407	
rs2070959	UGT1A7	0.8863848717161291	
ABCG2	rs45605536	0.99	
EGFR	DIAPH1	0.8197146809151086	
UGT1A7	UGT1A7*3	0.8600583546412883	
CFTR	GRB2	0.8628338709774962	
EGFR	DLG4	0.8435102388865442	
EGFR	VAMP2	0.8628338709774962	
ABCB1	rs3842	0.99	
PPARG	NCOR1	0.8294526363440686	
FYN	FGF9	0.8632846785253419	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.818984274335209	
VEGFA	ELMO2	0.7983096722548423	
KDR	SH2D2A	0.8588236184081405	
FYN	GRB2	0.8701953004617193	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PALB2	0.8638247395845513	
UGT1A9	rs3832043	0.9509900498999999	
Dasatinib	CYP1B1	1	
rs2070959	UGT1A9	0.8863848717161291	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9135172474836407	
UGT1A9	rs34993780	0.9135172474836407	
UGT1A9	rs72551330	0.8953382542587163	
IKBKB	SQSTM1	0.842023951637581	
EGFR	TRIP10	0.863443159858049	
KDR	AXL	0.850491991613676	
CYP2C19	CYP2C19*1, CYP2C19*2	0.99	
STAT5B	GH2	0.8579191844628987	
EGFR	RASGRP1	0.8372883840480309	
EGFR	SYT9	0.8628338709774962	
IKBKB	TAB2	0.8560021777996374	
FYN	FGFR1	0.8372883840480309	
UGT1A1	rs10929302	0.8600583546412883	
MTHFR	rs1476413	0.99	
EGFR	CD3G	0.8628338709774962	
LCK	PIK3R2	0.8452958729825284	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLA2G4F	0.8638247395845513	
LCK	B2M	0.8516636985739204	
Piroxicam	ALB	1	
UGT1A9	rs2741049	0.9135172474836407	
UGT1A9	rs2741049	0.99	
EGFR	FGF10	0.8619307007599862	
rs10929303	UGT1A1	0.92274469442792	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA4	0.8638247395845513	
OCRL	rs757639	0.8527229762742226	
LCK	SRC	0.8637281740837501	
TP53	rs1042522	0.81831675767688	
KIT	KL	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.818984274335209	
EGFR	GRIN1	0.8435102388865442	
CYP3A4	rs28371759	0.99	
TTR	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.904977499353	
ABCB1	rs4728709	0.99	
EGFR	VAMP7	0.8628338709774962	
AGTR1	XCL1	0.833320481754769	
Sulindac	SLC22A6	1	
SRC	TLN1	0.8664849906990981	
CFTR	DNM2	0.8621379174857935	
LCK	CD274	0.8448687443032323	
AGTR1	rs5186	0.99	
CFTR	KIAA0319	0.8621379174857935	
PDPK1	PIK3R6	0.8281207788973212	
PTK6	NRG4	0.8633557898536034	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3	0.99	
EPHA2	EPHA2	0.8520838925573979	
UGT1A6	rs2070959	0.8953382542587163	
MAPK3	YWHAB	0.8682146307222439	
VEGFA	KDR	0.8695419162896381	
SRC	GRIN1	0.8526462282435747	
CYP3A4	rs2740574	0.8775210229989678	
KDR	HSP90AA1	0.8625501908282859	
LCK	GRAP2	0.8651318778428267	
PDPK1	PIK3CB	0.855946747881349	
STAT5B	JAK1	0.8556642356373598	
rs2070959	UGT1A9	0.92274469442792	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GFAP	0.818984274335209	
CYP2D6	CYP2D6*1, CYP2D6*38, CYP2D6*4, CYP2D6*5, CYP2D6*9	0.99	
AGTR1	PTGER1	0.8252219011119977	
PLAT	PLG	0.8626533706911382	
UGT1A1	rs8175347	0.9135172474836407	
RXRA	MED9	0.7989062580087279	
KIT	BTC	0.847975029345742	
rs12721627	CYP3A4	0.96059601	
UGT1A8	rs2070959	0.99	
UGT1A	rs10929303	0.8953382542587163	
CYP1A1	rs2472297	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.8638247395845513	
EGFR	BIN1	0.863443159858049	
UGT1A9	rs3832043	0.9135172474836407	
MMP9	MMP1	0.8029324264818661	
PPARG	NCOR2	0.8294526363440686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT16	0.8638247395845513	
CFTR	NECAP1	0.8658049874828022	
RXRA	MED29	0.7989062580087279	
FYN	EPHA7	0.8566409204013108	
MAPK3	KRAS	0.8683297969239809	
UGT2B7	rs6600893	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR8D2	0.8638247395845513	
FYN	YES1	0.867700337642815	
LCK	CD3D	0.8637443836010867	
CFTR	VAMP7	0.8628338709774962	
SRC	PDGFA	0.842023951637581	
YES1	LYN	0.8670406049940645	
EGFR	IL2RA	0.8435102388865442	
SRC	FGA	0.8659427526468915	
rs6759892	UGT1A9	0.9043820750088043	
PDGFRB	FGF3	0.855946747881349	
CYP1A2	rs762551	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
Ibuprofen	ABCC1	1	
PDPK1	PIK3R1	0.8632846785253419	
rs6759892	UGT1A6	0.8687458127689781	
FYN	CD2AP	0.7983096722548423	
UGT1A1	rs4148323	0.9509900498999999	
MAPK3	KSR1	0.8692919122501969	
VEGFA	SH2D2A	0.8588236184081405	
SLCO1B1	rs11045872	0.99	
PTGS2	rs5275	0.99	
Ibuprofen	SLCO1A2	1	
ABL1	ABL1	0.8421959353175904	
rs8330	UGT1A	0.9414801494009999	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
SRC	EPHA8	0.8566409204013108	
Diflunisal	ALB	1	
PTGDR2	PPBP	0.833320481754769	
UGT2B7	rs7438135	0.99	
PPARD	rs3734254	0.99	
YES1	JAK2	0.8499089801634054	
Captopril	MMP2	1	
UGT1A	rs8330	0.9702989999999999	
SRC	ROCK1	0.8421959353175904	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.818984274335209	
AGTR1	GNRHR2	0.8354005520686607	
CYP2C8	rs1113129	0.99	
EGFR	SPTBN4	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CST3	0.818984274335209	
PDGFRB	FGFR1	0.8435102388865442	
ABCG2	rs2725252	0.99	
UGT1A6	rs2070959	0.9320653479069899	
EGFR	ARRB1	0.863443159858049	
EGFR	HIP1R	0.8628338709774962	
KDR	SRC	0.8684977548176123	
CFTR	CD3D	0.8621379174857935	
ABCB1	rs10267099	0.99	
IKBKB	RIPK2	0.8252219011119977	
UGT1A1	rs4124874	0.9509900498999999	
PTK6	NRG2	0.8633557898536034	
FYN	DCC	0.8603737876371409	
CYP3A4	rs56324128	0.9509900498999999	
ABCC3	rs4793665	0.99	
SRC	CRK	0.8522475701126215	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCDH1	0.8638247395845513	
PDPK1	PDPK1	0.8657767124847613	
EGFR	rs712829	0.99	
EGFR	APOB	0.8628338709774962	
KDR	PIK3R2	0.8468891025876341	
VEGFA	PIK3R2	0.8468891025876341	
Ibuprofen	SLC22A11	1	
PTGDR2	POMC	0.833320481754769	
KIT	FGF7	0.8435102388865442	
CFTR	DERL1	0.8558909648136892	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.818984274335209	
UGT1A1	UGT1A1*60	0.8600583546412883	
ITGA2	rs1126643	0.8551864921887058	
ACE	rs4359	0.99	
Perindopril	ACE	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SGOL2	0.818984274335209	
CFTR	WNT5A	0.863443159858049	
UGT1A1	rs10929302	0.9320653479069899	
CFTR	ARPC4	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.818984274335209	
AGTR1	PROK2	0.8407682499807351	
BCL2	BID	0.842366150048521	
UGT1A9	rs6714486	0.8953382542587163	
ABCC1	rs119774	0.99	
MAPK3	MAP2K2	0.8696312330667052	
SLCO1B1	rs4149081	0.99	
Insulin Detemir	CYP1A2	1	
CFTR	ARRB1	0.863443159858049	
Perindopril	SLC15A2	1	
CYP2C9	rs1934969	0.99	
CYP3A4	rs4987161	0.99	
EGFR	AP2M1	0.8664242982340606	
CYP3A	rs4987161	0.8953382542587163	
FYN	FGF17	0.8632846785253419	
EGFR	TFRC	0.8628338709774962	
IKBKB	TAB1	0.8520838925573979	
UGT1A9	rs72551344	0.9509900498999999	
EPHA2	EFNB3	0.8459813396079446	
Oxcarbazepine	ALB	1	
SRC	EFNA2	0.8582609785019573	
STAT5B	IL3	0.8497082254156562	
UGT2B7	rs4292394	0.99	
FMO1	rs10912675	0.99	
RXRA	MED27	0.7989062580087279	
EGFR	CSF2	0.8435102388865442	
Dasatinib	ABCG2	1	
NPHS1	rs3814995	0.8551864921887058	
PDGFRB	FGF20	0.8638403979636339	
rs8330	UGT1A1	0.9414801494009999	
EGFR	SPTA1	0.8435102388865442	
Etodolac	PTGS1	1	
PPARG	MED15	0.7989062580087279	
AGTR1	OXT	0.833320481754769	
Dasatinib	CYP3A5	1	
AGTR1	LTB4R2	0.8252219011119977	
VEGFA	rs3025040	0.99	
LCK	TYROBP	0.8516636985739204	
EGFR	RANBP9	0.8435102388865442	
AGTR1	NMUR2	0.8470141168187869	
AGTR1	NTS	0.833320481754769	
ABCC2	rs7917432	0.99	
CYP2C9	CYP2C9*1, CYP2C9*3	0.99	
VEGFA	AXL	0.850491991613676	
FYN	TREM2	0.8520838925573979	
CFTR	TGOLN2	0.8621379174857935	
FYN	PTPRA	0.857186514138311	
Celecoxib	CYP2C9	1	
Flurbiprofen	CYP2C9	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLAG1	0.8638247395845513	
YES1	PECAM1	0.8354005520686607	
PTK6	PTPN1	0.8310189406311155	
LCK	P04436	0.8637443836010867	
FYN	PLCG2	0.8539671061984366	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.818984274335209	
EGFR	GRIN2B	0.8435102388865442	
YES1	GRIN2B	0.8526462282435747	
VEGFA	rs9369421	0.99	
UGT1A9	rs8330	0.9320653479069899	
KDR	ITGAV	0.8557214641066988	
EGFR	FGF2	0.8658423074095727	
EGFR	PDGFRB	0.853898073011433	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*5	0.99	
Sulindac	ALB	1	
FYN	GRAP2	0.8594519690919569	
Vandetanib	ALB	1	
SRC	EFNA4	0.8582609785019573	
ABCB1	ABCB1*2(PMID:11503014)	0.99	
PDGFRB	FGF5	0.8610963123912945	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.8638247395845513	
UGT1A	rs11563250	0.8775210229989678	
CYP2D6	CYP2D6*1, CYP2D6*4	0.99	
Sulindac	PTGDR2	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DMD	0.8638247395845513	
EGFR	CD4	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GRAP2	0.8638247395845513	
EGFR	CLTA	0.8658049874828022	
RARA	H3F3B	0.8438225987934436	
UGT1A1	UGT1A1*60	0.9135172474836407	
PDPK1	CD80	0.8372883840480309	
LCK	FRS2	0.8513157657742707	
APOB	rs1367117	0.8542055322677212	
AGTR1	NMU	0.8459813396079446	
EGFR	IGF2R	0.8628338709774962	
FYN	KITLG	0.8652553874900422	
RXRA	TGS1	0.7989062580087279	
PPARD	FABP5	0.8294526363440686	
PDPK1	PKN1	0.8484307441293273	
VEGFA	rs13207351	0.99	
CYP2C9	rs9332131	0.99	
LCK	PDCD1LG2	0.8448687443032323	
TEK	TEK	0.859863056777342	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.818984274335209	
UGT1A1	SLC35D1	0.792109822701367	
UGT1A9	rs72551344	0.9135172474836407	
Dasatinib	ABCB1	1	
CYP2D6	CYP2D6*1, CYP2D6*4, CYP2D6*5	0.99	
AGTR1	GPRC6A	0.8252219011119977	
UGT1A9	rs11692021	0.99	
MAPK3	AKAP9	0.8535455451872151	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TLN2	0.818984274335209	
VEGFA	rs1570360	0.99	
CYP1A2	MGST1	0.792109822701367	
PTK6	DOK1	0.8310189406311155	
RXRA	SIN3B	0.8294526363440686	
ABCG2	rs2231137	0.99	
ABCC1	rs246240	0.99	
LCK	LCK	0.8692146792513005	
UGT1A8	rs6759892	0.9509900498999999	
FYN	KLRK1	0.8516636985739204	
EGFR	FRS2	0.8643329280224298	
FYN	KIT	0.8652553874900422	
Dasatinib	LCK	1	
FYN	EPHA1	0.8566409204013108	
rs2740574	CYP3A	0.9414801494009999	
EPHA2	EPHA1	0.8520838925573979	
AGTR1	NTSR1	0.8252219011119977	
RXRA	MED13L	0.7989062580087279	
EGFR	STAM	0.8665370616181098	
RXRA	MED28	0.7989062580087279	
KIT	FGFR2	0.8435102388865442	
Dasatinib	STAT5B	1	
Indomethacin	PTGDR2	1	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.8600583546412883	
Indomethacin	SLC22A11	1	
PDGFRB	NRG4	0.847975029345742	
KIT	SOS1	0.8679572945736581	
PDPK1	PIK3R5	0.8281207788973212	
UGT1A8	rs2070959	0.8953382542587163	
FYN	GRIN1	0.8567933402497072	
rs6759892	UGT1A8	0.8687458127689781	
Indomethacin	ALB	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC3	0.8638247395845513	
EGFR	IL5RA	0.8435102388865442	
UGT1A1	rs4124874	0.9135172474836407	
RXRA	CARM1	0.7989062580087279	
AGTR1	QRFP	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CAMTA1	0.8638247395845513	
EGFR	CLTB	0.8654065929327814	
EPHA2	EPHA7	0.8520838925573979	
LCK	TRBV12-3	0.8637443836010867	
AGTR1	GNA15	0.8595571341704282	
EGFR	JAK1	0.8435102388865442	
CFTR	RAB5A	0.8129393082389929	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.818984274335209	
CFTR	VAMP3	0.8628338709774962	
FYN	SPTA1	0.857186514138311	
SRC	DCC	0.8610963123912945	
CYP3A4	rs3735451	0.99	
LCK	PAG1	0.7872074365980737	
VEGFA	ELMO1	0.7983096722548423	
FYN	SHC1	0.8665954221669026	
EGFR	HSP90AA1	0.8697543949905541	
UGT1A	rs10929303	0.8775210229989678	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*4xN, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.8638247395845513	
FYN	HBEGF	0.847975029345742	
AGTR1	CYSLTR1	0.8252219011119977	
Flurbiprofen	UGT1A3	1	
FYN	PLCG1	0.8560021777996374	
SLCO1B1	SLCO1B1*1, SLCO1B1*2	0.99	
UGT1A9	rs17868320	0.9509900498999999	
PPARG	rs1801282	0.99	
UGT1A	rs1042640	0.8775210229989678	
ABCB1	rs4148738	0.99	
AGTR1	OPN4	0.8354005520686607	
PDGFRB	FGF8	0.8638403979636339	
EGFR	HIP1	0.8628338709774962	
SRC	NGEF	0.8351516051398434	
AGTR1	GCG	0.8407682499807351	
AGTR1	XCR1	0.8252219011119977	
ABCC1	rs2238476	0.99	
ABCG2	rs2231135	0.99	
FYN	NCK1	0.8661597525684153	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.8638247395845513	
SRC	EFNA3	0.8582609785019573	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.818984274335209	
PPARD	rs7769719	0.99	
AGTR1	MLNR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HPX	0.818984274335209	
YES1	EPHA6	0.8566409204013108	
CFTR	ADRB2	0.863443159858049	
CFTR	EGFR	0.8628338709774962	
Celecoxib	ALB	1	
SLCO1B1	rs4149032	0.99	
LCK	SH2B2	0.8351516051398434	
UGT1A8	rs2070959	0.9320653479069899	
SRC	PDGFRB	0.842023951637581	
PTGS1	rs10306114	0.99	
UGT1A7	rs2070959	0.9702989999999999	
EGFR	LRRK2	0.842023951637581	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.9111202792312738	
UGT1A	rs1042640	0.8953382542587163	
KDR	rs2071559	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.8638247395845513	
AGTR1	QRFPR	0.8252219011119977	
UGT1A9	rs34993780	0.9320653479069899	
EGFR	STON2	0.8628338709774962	
ABCC1	rs212091	0.99	
CFTR	EPS15L1	0.8628338709774962	
SRC	RAC1	0.8655615839370026	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCED1B	0.818984274335209	
Ibuprofen	PLAT	1	
KIT	FGFR3	0.8435102388865442	
CFTR	PICALM	0.8628338709774962	
LCK	CD3E	0.8637443836010867	
PTGDR2	GNB1	0.8497082254156562	
rs10929303	UGT1A1	0.8687458127689781	
ABCG2	rs1061018	0.99	
ABCC4	rs11568658	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA0232	0.8638247395845513	
EGFR	NCAM1	0.8435102388865442	
RXRA	rs62576288	0.99	
EGFR	SPTB	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.818984274335209	
Acitretin	RARA	1	
UGT1A6	UGT1A6*2a	0.9135172474836407	
SRC	RAP1A	0.8664849906990981	
UGT1A9	rs72551330	0.9702989999999999	
rs10929303	UGT1A	0.9801	
PTK6	STAP2	0.8506801547405347	
rs2070959	UGT1A8	0.8863848717161291	
EGFR	CD3D	0.8628338709774962	
CYP2C9	rs9332096	0.99	
CFTR	GAK	0.851137711762708	
rs8330	UGT1A	0.9043820750088043	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3, CYP2C19*4	0.99	
FYN	TIAM1	0.851577718501957	
SRC	EPHA4	0.8566409204013108	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.8638247395845513	
AGTR1	AGT	0.8506801547405347	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SACS	0.8638247395845513	
TTR	RBP4	0.838592942504826	
UGT1A1	rs4124874	0.8600583546412883	
ABL2	SLIT2	0.842023951637581	
PDGFRB	PIK3CB	0.8492966271403907	
KIT	LCK	0.8644439691138128	
UGT2B7	rs28365062	0.99	
CYP1A1	rs2606345	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT5	0.8638247395845513	
LCK	BTK	0.8520838925573979	
CYP3A4	rs4646440	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PEG3	0.818984274335209	
IKBKB	RELA	0.8576524009695105	
CYP2C9	rs4917639	0.99	
UGT1A8	rs6431558	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.8638247395845513	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.9320653479069899	
rs8330	UGT1A	0.9801	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HP	0.818984274335209	
SRC	KDR	0.8684977548176123	
EGFR	CHRM2	0.863443159858049	
EGFR	FGF20	0.8658423074095727	
LCK	LCP2	0.86411620310611	
UGT1A1	rs4148323	0.9135172474836407	
UGT1A6	rs1105879	0.9702989999999999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6B	0.8638247395845513	
YES1	KITLG	0.8639651892799458	
rs429358	APOC1	0.829786598184209	
AGTR1	PTAFR	0.8252219011119977	
FYN	TRIO	0.8509568505095917	
UGT1A	rs11563250	0.8600583546412883	
KDR	rs1870377	0.99	
FYN	EFNA1	0.8582609785019573	
CFTR	ACTR3	0.8628338709774962	
LCK	PTPN11	0.8639497875499311	
Indomethacin	SLC10A1	1	
PPARA	rs135550	0.99	
ABCC2	rs17222723	0.99	
CYP3A4	MGST3	0.792109822701367	
