CNR1	alcohol use disorder	
CYP2E1	alcohol use disorder	
TAS2R13	alcohol use disorder	
NPSR1	alcohol use disorder	
DRD2	alcohol use disorder	
CRHR1	alcohol use disorder	
SLC6A4	alcohol use disorder	
PIK3R1	alcohol use disorder	
CRH	alcohol use disorder	
TACR1	alcohol use disorder	
AVP	alcohol use disorder	
ANKK1	alcohol use disorder	
OPRM1	alcohol use disorder	
HTR2A	MLNR	0.8354005520686607	
CYP2C8	rs1934951	0.99	
Olanzapine	HTR6	1	
OPRM1	TAS2R60	0.8354005520686607	
GLP2R	NPS	0.8407682499807351	
CYP2D6	rs371793722	0.99	
HTR5A	FPR3	0.8354005520686607	
HTR7	GPR45	0.8252219011119977	
CYP2C9	rs4918758	0.99	
DRD4	HCAR2	0.8354005520686607	
OPRK1	INSL5	0.8407682499807351	
DRD2	S1PR2	0.8252219011119977	
ADRA1A	NPSR1	0.8354005520686607	
HTR2B	F2RL2	0.8252219011119977	
HTR1E	FPR2	0.8354005520686607	
OPRM1	CCR9	0.8354005520686607	
CHRM2	STON2	0.863443159858049	
HTR1B	LPAR3	0.8252219011119977	
DRD4	LPAR5	0.8252219011119977	
DRD1	HTR4	0.8354005520686607	
HTR1B	S1PR1	0.8252219011119977	
ADRA1B	FFAR1	0.8354005520686607	
HRH1	APP	0.833320481754769	
Olanzapine	CHRM1	1	
ADRB3	CALCR	0.8421959353175904	
HTR1D	C3AR1	0.8354005520686607	
ADRA1A	CASR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.8638247395845513	
DRD1	GPBAR1	0.8354005520686607	
DRD5	P2RY11	0.8252219011119977	
ADRA1B	NPFFR1	0.8252219011119977	
CALM3	AKT1	0.8543051757879493	
HTR1A	TAS2R19	0.8354005520686607	
ADRA1B	AVPR1A	0.8354005520686607	
DRD2	CCR10	0.8354005520686607	
ADRA1A	NMB	0.8407682499807351	
CHRM2	ARRB1	0.8645785616292008	
HTR2B	PROK1	0.8407682499807351	
HTR7	PTGER4	0.8252219011119977	
HTR1B	SAA1	0.8407682499807351	
HTR1F	PDYN	0.8407682499807351	
HRH4	S1PR3	0.8252219011119977	
HIF1A	RBX1	0.8599291555852738	
DRD4	HCAR3	0.8354005520686607	
ADRA1D	KNG1	0.8407682499807351	
HTR1B	APP	0.8407682499807351	
HRH1	AVPR1A	0.8354005520686607	
Pergolide	HTR2C	1	
ADRA1A	EDNRB	0.8252219011119977	
CHRM4	CXCR4	0.8354005520686607	
ADRB2	VIP	0.833320481754769	
HTR1B	CXCR2	0.8354005520686607	
HTR1D	ADRA2B	0.8252219011119977	
ADRB2	CLTC	0.8664089236866457	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGA2	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.8638247395845513	
CHRM5	PTGFR	0.8252219011119977	
HRH4	HTR1A	0.8354005520686607	
ADRA1A	EDN2	0.833320481754769	
Salmeterol	ADRB2	1	
DRD5	POMC	0.833320481754769	
ADRA2A	CXCL6	0.8407682499807351	
HTR1B	CXCL10	0.8407682499807351	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3	0.99	
HRH2	MC1R	0.8252219011119977	
ADRB1	RXFP1	0.8354005520686607	
HRH4	HTR1B	0.8354005520686607	
DRD4	CXCL16	0.8407682499807351	
HRH4	GALR2	0.8252219011119977	
CHRM4	TAS2R41	0.8354005520686607	
OPRM1	SST	0.8407682499807351	
HTR1D	CCR10	0.8354005520686607	
CHRM4	C5	0.8407682499807351	
DRD1	GPR150	0.8252219011119977	
HTR7	GPR20	0.8252219011119977	
ADRB2	rs1042713	0.99	
HTR1F	SSTR2	0.8354005520686607	
HTR2B	APP	0.833320481754769	
CHRM1	NTS	0.833320481754769	
Imipramine	KCNH2	1	
HTR2C	PROK2	0.8407682499807351	
DRD4	SST	0.8407682499807351	
ADRB3	CRH	0.8407682499807351	
ADRA1A	GNG2	0.8632667287580127	
HTR1D	CCL27	0.8407682499807351	
ADRA1A	CCK	0.833320481754769	
HRH4	TAS2R42	0.8354005520686607	
ADRB2	ARPC5	0.8628338709774962	
HTR2C	LPAR5	0.8252219011119977	
ADRA1B	CYSLTR2	0.8252219011119977	
CHRM2	IGF2R	0.863443159858049	
HTR2A	P2RY1	0.8354005520686607	
ADRB1	PTH2	0.8407682499807351	
CYP3A4	rs4986910	0.99	
ADRA1A	F2RL3	0.8252219011119977	
HRH1	TACR1	0.8252219011119977	
ABCB1	rs2235040	0.99	
ADRA1B	ADRA1A	0.849809014912932	
SLC6A2	rs5569	0.99	
DRD4	MCHR2	0.8354005520686607	
HTR5A	P2RY4	0.8354005520686607	
DRD4	GPER1	0.8354005520686607	
ADRA2B	ANXA1	0.8407682499807351	
Ropinirole	DRD1	1	
ADRA1B	GPR132	0.8354005520686607	
DRD5	ADORA2B	0.8354005520686607	
CYP3A4	rs35599367	0.9135172474836407	
CHRM2	AP2M1	0.8669217489920482	
CHRM4	POMC	0.8407682499807351	
DRD4	POMC	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GCN1L1	0.818984274335209	
HRH4	HTR1F	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.818984274335209	
Imipramine	SLC22A4	1	
DRD2	PPY	0.833320481754769	
ADRB1	GIPR	0.8354005520686607	
CHRM2	ARPC2	0.8628338709774962	
CYP3A5	CYP3A5*1A, CYP3A5*3A	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.818984274335209	
Perphenazine	CYP1A2	1	
CHRM3	HCRTR1	0.8252219011119977	
CYP2C9	rs1799853	0.99	
ADRA1A	GNA11	0.8595571341704282	
CHRM3	PROKR1	0.8354005520686607	
OPRK1	LPAR5	0.8252219011119977	
CHRM2	REPS1	0.8664623807565615	
ADRA1D	TRHR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.8638247395845513	
GRIN1	GRB2	0.8670770245481983	
GRIN2B	rs2058878	0.99	
CHRM4	CCL21	0.8407682499807351	
HTR1E	GRM4	0.8252219011119977	
CHRM3	PROK2	0.8407682499807351	
HTR1F	HCAR1	0.8354005520686607	
DRD2	TAS2R41	0.8354005520686607	
GLP2R	GIPR	0.8354005520686607	
ADRB1	PTGDR	0.8252219011119977	
HTR7	GIP	0.8407682499807351	
DRD2	TAS2R8	0.8354005520686607	
ABCB1	rs10248420	0.99	
HTR1A	CXCL3	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA1	0.8638247395845513	
DRD2	NPY1R	0.8252219011119977	
VEGFA	rs699947	0.99	
DRD1	FSHB	0.8407682499807351	
HTR6	RAMP1	0.8421959353175904	
ADRB2	DVL2	0.863443159858049	
HTR1E	GPR17	0.8252219011119977	
CHRM1	GHRL	0.8407682499807351	
HTR1D	C5	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
Imipramine	DRD2	1	
CHRM2	ARPC3	0.8628338709774962	
ADRA1D	GNAQ	0.8595571341704282	
HIF1A	EGLN1	0.8497082254156562	
CHRM4	HRH4	0.8354005520686607	
HTR7	TAAR1	0.8354005520686607	
HTR2A	F2RL2	0.8252219011119977	
HTR1A	NPY	0.833320481754769	
HTR1D	SSTR2	0.8354005520686607	
OPRM1	CNR1	0.8354005520686607	
OPRM1	TAS2R50	0.8354005520686607	
CHRM2	REPS2	0.863443159858049	
CHRM3	CYSLTR1	0.8252219011119977	
HRH2	LHCGR	0.8354005520686607	
ADRB1	GNB1	0.8526462282435747	
HTR1D	TAS2R20	0.8354005520686607	
OPRM1	GALR2	0.8252219011119977	
CHRM4	SSTR5	0.8354005520686607	
HTR2A	GPRC6A	0.8252219011119977	
ADRA1B	P2RY11	0.8252219011119977	
ADRA1A	PTAFR	0.8252219011119977	
CHRM1	HRH1	0.8354005520686607	
ADRB3	GPHA2	0.8407682499807351	
OPRK1	GRM6	0.8252219011119977	
CHRM4	TAS2R16	0.8354005520686607	
CHRM2	PACSIN2	0.863443159858049	
OPRK1	S1PR1	0.8252219011119977	
ADRB3	CALCB	0.8407682499807351	
HTR2A	QRFPR	0.8252219011119977	
GLP2R	GCG	0.8514037595308094	
ABCB1	rs7787082	0.99	
HTR2A	HCRTR1	0.8252219011119977	
HTR1A	SSTR4	0.8354005520686607	
CYP2B6	rs28399499	0.99	
DRD1	RAMP3	0.8421959353175904	
ABCB1	rs4148740	0.99	
DRD4	GALR1	0.8252219011119977	
CYP3A4	rs2242480	0.9509900498999999	
HTR2A	LPAR2	0.8252219011119977	
HRH1	NTSR2	0.8252219011119977	
HTR2B	CCKBR	0.8354005520686607	
OPRM1	PTGDR2	0.8252219011119977	
DRD3	GRM4	0.8252219011119977	
CHRM4	GNAI2	0.8526462282435747	
HTR1A	CCL19	0.8407682499807351	
ADRA1A	NTSR2	0.8252219011119977	
OPRD1	TAS2R45	0.8354005520686607	
HTR1E	ADORA3	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
CHRM3	PROK1	0.8407682499807351	
HTR1D	HCAR3	0.8354005520686607	
CHRM4	RXFP3	0.8354005520686607	
DRD4	PDYN	0.8407682499807351	
ADRB1	PTH2R	0.8354005520686607	
OPRD1	SSTR1	0.8354005520686607	
DRD4	GALR2	0.8252219011119977	
CHRM5	HRH1	0.8354005520686607	
CYP2B6	CYP2B6*1, CYP2B6*18, CYP2B6*2, CYP2B6*22, CYP2B6*4, CYP2B6*5, CYP2B6*6	0.99	
ADRB3	INSL3	0.8407682499807351	
OPRK1	CCR1	0.8354005520686607	
DRD4	PTGER3	0.8252219011119977	
HTR2A	ADRA1A	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
HTR2B	CYSLTR2	0.8252219011119977	
CHRM2	SYT1	0.863443159858049	
ADRA1A	APP	0.833320481754769	
HTR5A	OPRD1	0.8354005520686607	
CHRM4	CCR5	0.8354005520686607	
CHRM1	P2RY10	0.8354005520686607	
HRH4	TAS2R43	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.818984274335209	
rs4987161	CYP3A4	0.8863848717161291	
HTR5A	APLN	0.8407682499807351	
Risperidone	HTR2C	1	
CHRM2	PF4	0.8407682499807351	
CHRM2	GNAI3	0.8526462282435747	
HRH4	FPR1	0.8354005520686607	
HTR2B	P2RY2	0.8354005520686607	
DRD3	CCR9	0.8354005520686607	
APOE	rs429358	0.8381682809941505	
OPRM1	P2RY12	0.8354005520686607	
ADRB2	NPS	0.8407682499807351	
ADRB2	HGS	0.863443159858049	
ADRA2A	PPBP	0.833320481754769	
CHRM1	NMUR1	0.8354005520686607	
OPRM1	CXCL10	0.8407682499807351	
HRH4	GPER1	0.8354005520686607	
HTR2A	BDKRB1	0.8354005520686607	
Rotigotine	DRD5	1	
Risperidone	ABCB1	1	
HRH4	OXGR1	0.8354005520686607	
DRD3	ADRA2A	0.8252219011119977	
DRD1	TAAR1	0.8354005520686607	
HTR1F	LPAR2	0.8252219011119977	
HTR1F	NMUR1	0.8354005520686607	
OPRD1	POMC	0.8436671950788296	
DRD3	SSTR3	0.8354005520686607	
CYP2A6	rs28399454	0.99	
OPRM1	BDKRB2	0.8354005520686607	
ADRB2	P2RY11	0.8252219011119977	
ADRB2	PTH1R	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
Paliperidone	HRH1	1	
CHRM3	EDN1	0.833320481754769	
ADRB2	SYT1	0.863443159858049	
CHRM2	AVPR2	0.863443159858049	
HRH2	VIPR2	0.8252219011119977	
OPRK1	CXCL3	0.8407682499807351	
HTR1A	CXCL12	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.818984274335209	
CHRM3	FFAR1	0.8354005520686607	
Paliperidone	CYP2D6	1	
DRD3	CXCL12	0.8407682499807351	
CHRM2	CCR7	0.8354005520686607	
HTR1B	GPR17	0.8252219011119977	
HRH1	EDN3	0.833320481754769	
HTR1E	ADRA2C	0.8252219011119977	
HTR5A	CXCL8	0.8459813396079446	
CHRM2	DVL2	0.863443159858049	
DRD1	PTGER4	0.8252219011119977	
CHRM1	GPR17	0.8252219011119977	
ABCB1	rs2229109	0.99	
ADRA1B	LPAR4	0.8354005520686607	
Memantine	HTR3A	1	
HRH4	HTR1E	0.8354005520686607	
GRIN1	EPHB4	0.8526462282435747	
CHRM2	S1PR5	0.8252219011119977	
NDUFC2	HADH	0.8372883840480309	
CHRM3	P2RY1	0.8354005520686607	
HTR1D	NPY	0.833320481754769	
DRD5	CALCRL	0.8421959353175904	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.8638247395845513	
HTR1E	PPBP	0.8407682499807351	
DRD2	FPR1	0.8354005520686607	
HRH1	AVPR1B	0.8354005520686607	
HTR1A	CXCR1	0.8354005520686607	
HTR1B	HRH3	0.8354005520686607	
OPRK1	GALR1	0.8252219011119977	
ADRA1A	NPS	0.8407682499807351	
ADRA1D	P2RY2	0.8354005520686607	
ADRA2C	GNB1	0.8626329038096527	
HTR7	SCTR	0.8354005520686607	
HTR2B	GAST	0.8407682499807351	
VEGFA	PXN	0.8532543843767528	
CHRM1	NMU	0.8407682499807351	
Rotigotine	CYP1A2	1	
ADRA1A	F2RL1	0.8252219011119977	
DRD2	GAL	0.833320481754769	
HTR1B	TAS2R7	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.818984274335209	
CYP3A	rs12721627	0.9320653479069899	
ADRA2A	APP	0.833320481754769	
DRD5	MC2R	0.8252219011119977	
DRD2	GALR1	0.8252219011119977	
DRD3	BDKRB1	0.8354005520686607	
ADRA1A	P2RY2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF292	0.818984274335209	
CHRM4	HTR1B	0.8354005520686607	
ADRB3	GNB1	0.8526462282435747	
ADRA1A	P2RY6	0.8354005520686607	
Pergolide	DRD1	1	
HTR1E	CXCL12	0.8407682499807351	
ADRA2C	MT-RNR2	0.8407682499807351	
CHRM2	HTR5A	0.8354005520686607	
HTR1A	GRM7	0.8252219011119977	
HTR5A	S1PR1	0.8252219011119977	
DRD4	AGTR2	0.8354005520686607	
HTR2A	F2RL3	0.8252219011119977	
Paroxetine	SLC6A4	1	
Imipramine	CYP2B6	1	
ADRA1D	AGT	0.8407682499807351	
CYP2E1	rs2515641	0.99	
OPRM1	S1PR2	0.8252219011119977	
CHRM5	TRHR	0.8354005520686607	
OPRM1	GNAI3	0.864131010283043	
HTR2C	CHRM1	0.8354005520686607	
DRD5	GPR20	0.8252219011119977	
ADRB1	GPR45	0.8252219011119977	
HTR2A	PROK1	0.8407682499807351	
CHRM3	AVPR1B	0.8354005520686607	
NTRK1	RAP1A	0.8468891025876341	
HTR1F	INSL5	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NPHS1	0.8638247395845513	
HTR2C	TRH	0.8407682499807351	
CYP3A4	rs3735451	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT1	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.8638247395845513	
HTR5A	ADRA2C	0.8252219011119977	
HTR1A	ADRA2C	0.8252219011119977	
GLP2R	GPR25	0.8252219011119977	
GLP2R	PTGER2	0.8252219011119977	
OPRK1	APP	0.8407682499807351	
HTR2C	CYSLTR1	0.8252219011119977	
HTR1E	C3AR1	0.8354005520686607	
HTR7	RXFP2	0.8354005520686607	
HTR1A	OPRD1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.818984274335209	
HTR1A	CCL5	0.8407682499807351	
CHRM1	MLNR	0.8354005520686607	
HTR1D	CXCL11	0.8407682499807351	
HTR2B	GPRC6A	0.8252219011119977	
HTR1F	DRD3	0.8354005520686607	
DRD4	PNOC	0.8407682499807351	
ADRA2A	CCL23	0.833320481754769	
HTR6	GNB1	0.8526462282435747	
HTR6	GPR20	0.8252219011119977	
ADRA1A	GNRH2	0.8407682499807351	
HTR1D	CXCL10	0.8407682499807351	
HTR1D	TAS2R1	0.8354005520686607	
HTR5A	TAS2R46	0.8354005520686607	
HTR1B	HRH4	0.8354005520686607	
CHRM2	KIAA0319	0.863443159858049	
ADRB1	IAPP	0.8407682499807351	
DRD1	rs265976	0.99	
CHRM5	GNG2	0.8526462282435747	
OPRK1	HTR1D	0.8354005520686607	
HTR6	VIP	0.833320481754769	
HTR1E	CXCR6	0.8354005520686607	
CHRM1	FFAR3	0.8354005520686607	
HTR1E	CXCL8	0.8459813396079446	
CHRM2	VAMP4	0.863443159858049	
CHRM3	TAC3	0.833320481754769	
DRD3	CNR1	0.8354005520686607	
CHRM2	M6PR	0.863443159858049	
CHRM2	GRM7	0.8252219011119977	
OPRM1	CCL20	0.8407682499807351	
HTR6	ADCYAP1	0.8407682499807351	
CHRM5	KNG1	0.8407682499807351	
ADRA1A	CHRM1	0.8354005520686607	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3	0.99	
DRD5	PTH2R	0.8354005520686607	
HTR1B	LPAR5	0.8252219011119977	
CHRM2	CXCL3	0.8407682499807351	
HTR1D	LPAR1	0.8252219011119977	
DRD2	rs1079598	0.99	
HTR1F	CCL27	0.8407682499807351	
CYP1A1	rs2472297	0.99	
HRH2	GPR32	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT16	0.8638247395845513	
ADRB2	CRHR1	0.8354005520686607	
HTR1F	SUCNR1	0.8354005520686607	
OPRM1	HTR1A	0.8354005520686607	
HTR1B	KNG1	0.8407682499807351	
CHRM3	CCK	0.833320481754769	
DRD1	GPHA2	0.8407682499807351	
HRH1	GNRHR	0.8354005520686607	
CHRM1	XCR1	0.8252219011119977	
HTR2C	NPSR1	0.8354005520686607	
CALM3	NFATC3	0.8228150578411493	
DRD4	CCL20	0.8407682499807351	
HTR1A	PTGDR2	0.8252219011119977	
HTR1D	SST	0.8407682499807351	
CHRM5	F2R	0.8252219011119977	
Amitriptyline	HTR2C	1	
OPRK1	RXFP4	0.8354005520686607	
DRD2	GPR55	0.8354005520686607	
HTR1A	NMUR1	0.8354005520686607	
HRH1	HTR2B	0.8354005520686607	
ADRA1B	BDKRB2	0.8354005520686607	
GRIN1	CAMK2D	0.8516636985739204	
HTR1D	CCR2	0.8354005520686607	
HRH4	PPY	0.833320481754769	
Paliperidone	ADRA1B	1	
HTR1E	TAS2R38	0.8354005520686607	
HTR1E	CXCL1	0.8407682499807351	
HRH1	F2	0.833320481754769	
CHRM2	LRP2	0.863443159858049	
OPRD1	HTR5A	0.8354005520686607	
DRD5	HTR6	0.8354005520686607	
CHRM1	AVPR1B	0.8354005520686607	
HRH1	TRHR	0.8354005520686607	
HRH4	GABBR2	0.8252219011119977	
DRD3	rs6280	0.99	
CHRM5	F2	0.833320481754769	
ADRA1A	OXT	0.833320481754769	
HTR1D	CCR9	0.8354005520686607	
HRH2	TSHR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.818984274335209	
CHRM3	GNA15	0.8595571341704282	
CYP2C8	rs1113129	0.99	
CHRM3	P2RY6	0.8354005520686607	
HRH4	CXCL13	0.8407682499807351	
DRD2	rs2734841	0.99	
ABCB1	rs10267099	0.99	
ADRA1A	TACR2	0.8252219011119977	
CHRM2	CXCR5	0.8354005520686607	
HTR1F	CCR6	0.8354005520686607	
CHRM5	ADRA1B	0.8354005520686607	
OPRD1	CCL16	0.8407682499807351	
HTR2C	BDKRB1	0.8354005520686607	
CHRM5	AGT	0.8407682499807351	
ADRA1B	GCGR	0.8354005520686607	
DRD2	ADORA1	0.8354005520686607	
DRD3	TAS2R43	0.8354005520686607	
HTR1F	TAS2R20	0.8354005520686607	
DRD1	ADM	0.8407682499807351	
ADRA1A	PROK2	0.8407682499807351	
CHRM1	GCG	0.8407682499807351	
HTR2C	LTB4R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.818984274335209	
HTR2A	XCR1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SGOL2	0.818984274335209	
Pergolide	ADRA1B	1	
OPRM1	rs9384179	0.99	
DRD3	TAS2R41	0.8354005520686607	
HTR1D	ADRA2C	0.8252219011119977	
DRD4	HTR1F	0.8354005520686607	
CHRM2	KNG1	0.8407682499807351	
HTR2C	HCRTR2	0.8252219011119977	
CHRM5	GNRH2	0.8407682499807351	
CHRM3	GAST	0.8407682499807351	
ADRA1B	CASR	0.8354005520686607	
ADRA1D	EDN3	0.833320481754769	
DRD4	HRH3	0.8354005520686607	
HTR6	CRHR1	0.8354005520686607	
DRD4	GRM2	0.8252219011119977	
Paliperidone	ADRA2B	1	
HRH4	ADRA2A	0.8252219011119977	
HRH1	GNA14	0.8595571341704282	
OPRK1	GRM4	0.8252219011119977	
ADRA1A	PTGER1	0.8252219011119977	
HTR5A	CCL23	0.8407682499807351	
DRD5	GHRHR	0.8354005520686607	
DRD4	OPRK1	0.8354005520686607	
CHRM4	TAS2R31	0.8354005520686607	
CHRM5	NTS	0.833320481754769	
HTR1B	P2RY13	0.8354005520686607	
CHRM1	LPAR1	0.8252219011119977	
HTR1A	PENK	0.8407682499807351	
VEGFA	rs3025040	0.99	
CHRM4	GABBR2	0.8252219011119977	
DRD3	POMC	0.8407682499807351	
OPRM1	NPY5R	0.8252219011119977	
HRH4	CCL16	0.8407682499807351	
CYP2C9	CYP2C9*1, CYP2C9*3	0.99	
CHRM4	GNAI1	0.8526462282435747	
HTR1B	P2RY4	0.8354005520686607	
Levodopa	SLC7A5	1	
NTRK2	rs2120266	0.99	
CHRM1	NPFFR2	0.8252219011119977	
HTR1F	C5	0.8407682499807351	
ADRB2	LHCGR	0.8354005520686607	
HTR1D	CCR4	0.8354005520686607	
GLP2R	SCT	0.8407682499807351	
DRD2	CXCL3	0.8407682499807351	
CHRM5	GRP	0.8407682499807351	
Eletriptan	CYP3A4	1	
ADRA1B	OXT	0.833320481754769	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*5	0.99	
CHRM1	GNG2	0.8526462282435747	
CHRM4	TAS2R38	0.8354005520686607	
HTR1B	NPY5R	0.8252219011119977	
HTR6	TSHR	0.8354005520686607	
DRD5	PTGDR	0.8252219011119977	
ADRB3	PTGDR	0.8252219011119977	
CHRM2	CLTA	0.8664089236866457	
HTR5A	GABBR2	0.8252219011119977	
HTR5A	CCL19	0.8407682499807351	
HTR1F	CCL5	0.8407682499807351	
DRD1	GHRHR	0.8354005520686607	
CHRM4	TAS2R7	0.8354005520686607	
OPRK1	ADRA2A	0.8252219011119977	
OPRD1	CXCR3	0.8354005520686607	
CHRM2	GPR55	0.8354005520686607	
HRH4	C5	0.8407682499807351	
HTR1E	GNAI2	0.8526462282435747	
HTR2B	GNB1	0.8526462282435747	
ADRB1	HTR4	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.818984274335209	
CYP2D6	CYP2D6*1, CYP2D6*4, CYP2D6*5	0.99	
ADRB2	OCRL	0.8613363396709319	
Amitriptyline	CYP2D6	1	
HRH1	UTS2B	0.8407682499807351	
ADRA1D	GPR17	0.8252219011119977	
HTR1F	GNG2	0.8526462282435747	
CHRM5	GCGR	0.8354005520686607	
DRD3	GPR17	0.8252219011119977	
GRIN1	CALM3	0.8319100629186602	
HTR1F	PENK	0.8407682499807351	
HTR5A	GNAT3	0.8526462282435747	
GLP2R	VIPR1	0.8252219011119977	
DRD2	GNAI1	0.8526462282435747	
CHRM2	GRM2	0.8252219011119977	
DRD4	PMCH	0.8407682499807351	
HTR5A	SSTR2	0.8354005520686607	
CHRM5	PMCH	0.833320481754769	
ADRB3	ADCYAP1	0.8407682499807351	
Amitriptyline	HTR7	1	
OPRM1	rs510769	0.99	
DRD1	rs11746641	0.99	
DRD4	OPRD1	0.8354005520686607	
CHRM1	GNA15	0.8595571341704282	
DRD4	TAS2R13	0.8354005520686607	
Propranolol	ADRB2	1	
DRD3	GABBR1	0.8252219011119977	
OPRM1	NPB	0.8407682499807351	
OPRD1	HTR1A	0.8354005520686607	
ADRB2	AP2A2	0.8669217489920482	
CYP3A4	rs3735451	0.99	
HTR1E	CXCL16	0.8407682499807351	
DRD4	P2RY4	0.8354005520686607	
ADRA2C	PMCH	0.833320481754769	
VEGFA	ELMO1	0.7983096722548423	
GLP2R	RLN2	0.8459813396079446	
CHRM2	TAS2R10	0.8354005520686607	
ADRB2	SH3GL2	0.865611713402943	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.8638247395845513	
HTR6	GPR15	0.8252219011119977	
CHRM2	NPBWR2	0.8354005520686607	
OPRK1	S1PR2	0.8252219011119977	
HTR1E	S1PR4	0.8252219011119977	
Apomorphine	HTR2A	1	
HRH2	CRH	0.8407682499807351	
DRD5	GIP	0.8407682499807351	
CHRM5	CCKAR	0.8252219011119977	
HRH1	F2RL3	0.8252219011119977	
CHRM4	CXCL6	0.8459813396079446	
HTR1F	TAS2R4	0.8354005520686607	
XDH	rs1429376	0.99	
ADRA1B	GAST	0.8407682499807351	
Eletriptan	HTR1B	1	
DRD2	NPY4R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.818984274335209	
DRD5	LHB	0.8407682499807351	
CHRM5	GAST	0.8407682499807351	
DRD3	HCAR1	0.8354005520686607	
ADRA1D	PTGER1	0.8252219011119977	
HTR5A	PPBP	0.8407682499807351	
DRD5	GPR25	0.8252219011119977	
DRD3	CCR3	0.8354005520686607	
DRD5	PTGER2	0.8252219011119977	
HTR2C	rs1414334	0.99	
ADRB2	TAAR1	0.8354005520686607	
ADRA1A	NMUR1	0.8354005520686607	
HTR1B	SSTR3	0.8354005520686607	
HTR2C	CCKBR	0.8354005520686607	
DRD3	C3	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.9111202792312738	
HTR1D	HRH3	0.8354005520686607	
HTR2A	GNG2	0.8526462282435747	
HTR5A	CXCL13	0.8407682499807351	
HTR2C	LPAR4	0.8354005520686607	
DRD1	GLP2R	0.8354005520686607	
OPRD1	RLN3	0.8459813396079446	
CHRM3	CCKAR	0.8252219011119977	
HRH2	MC5R	0.8252219011119977	
HTR1E	CCR2	0.8354005520686607	
OPRD1	CCR3	0.8354005520686607	
Amitriptyline	NTRK2	1	
OPRM1	NPBWR2	0.8354005520686607	
CHRM3	GPR4	0.8354005520686607	
HTR2B	CYSLTR1	0.8252219011119977	
HTR7	ADM	0.8407682499807351	
DRD2	NMUR2	0.8421959353175904	
HTR1F	CXCR6	0.8354005520686607	
GLP2R	FSHR	0.8354005520686607	
HTR1B	TAS2R5	0.8354005520686607	
HRH2	CALCA	0.8407682499807351	
OPRM1	MT-RNR2	0.8459813396079446	
OPRD1	GALR2	0.8252219011119977	
HTR2C	GPRC6A	0.8252219011119977	
HRH2	RXFP2	0.8354005520686607	
OPRK1	CNR2	0.8354005520686607	
