SCN5A	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ACE	Ventricular tachycardia, catecholaminergic polymorphic, 2	
REN	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
GNAI2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
AGT	Ventricular tachycardia, catecholaminergic polymorphic, 2	
EDN1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRA1A	P2RY11	0.8252219011119977	
ADRA1B	GRP	0.8407682499807351	
ADRA1B	GNAQ	0.8595571341704282	
ADRA1A	GHSR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SH3BP5	0.818984274335209	
CYP3A4	rs4986910	0.8775210229989678	
ADRA1A	NTS	0.833320481754769	
ADRA1A	GPR17	0.8252219011119977	
ADRB3	PTH2	0.8407682499807351	
ADRA1A	GCGR	0.8354005520686607	
ADRA1D	GNA15	0.8595571341704282	
ADRA1A	HCRTR2	0.8252219011119977	
SLC22A1	rs12208357	0.99	
ADRB1	GPR84	0.8252219011119977	
ADRA1A	LPAR2	0.8252219011119977	
SLC22A1	rs622342	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC1	0.818984274335209	
ADRA1B	NTSR1	0.8252219011119977	
TNF	BIRC3	0.8593451483108672	
ADRB2	PTH1R	0.8354005520686607	
ABCB1	rs2032582	0.99	
ADRB2	ITSN1	0.8664623807565615	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.818984274335209	
CYP3A4	rs2740574	0.9135172474836407	
ADRB2	P2RY11	0.8252219011119977	
ADRA1A	AVPR1B	0.8354005520686607	
CYP1A2	rs2069514	0.99	
ADRA1B	HCRTR2	0.8252219011119977	
ADRB2	EPS15	0.8667016654974304	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*2, CYP2C9*3	0.99	
ADRB2	ADM	0.8407682499807351	
ADRB2	AAK1	0.8663069664123185	
CYP3A4	rs4986910	0.9509900498999999	
ACE	rs4646994	0.99	
CYP1A2	MGST2	0.792109822701367	
ADRA1D	GNRHR	0.8354005520686607	
ADRA2A	SAA1	0.833320481754769	
Lisinopril	ABCB1	1	
ADRB2	SYT1	0.863443159858049	
CYP3A	rs12721627	0.9702989999999999	
ADRB2	HRH2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.818984274335209	
ADRB2	FCHO2	0.8583026292860755	
ADRB3	SCT	0.8407682499807351	
CYP3A4	rs4646437	0.9509900498999999	
CYP3A4	rs3735451	0.9509900498999999	
ADRA1B	CYSLTR1	0.8252219011119977	
ADRB1	PTH1R	0.8354005520686607	
ADRA2B	RLN3	0.8407682499807351	
ADRB2	STON2	0.863443159858049	
ADRB2	EPS15L1	0.863443159858049	
ABCB1	rs4148737	0.99	
ADRB2	UBB	0.863443159858049	
ADRB2	VIPR2	0.8252219011119977	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
ADRB2	CHRM2	0.863443159858049	
ABCB1	rs2235047	0.99	
ADRB3	MC3R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.818984274335209	
ADRB2	GRK3	0.8086124452583398	
ADRA1D	NMS	0.8407682499807351	
ADRB1	GPR176	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA0232	0.818984274335209	
ADRA2C	GNAI3	0.8497082254156562	
ADRB2	SYNJ2	0.8613363396709319	
rs1800629	LTA	0.9801	
ADRB2	FCHO1	0.8583026292860755	
ABCB1	rs12720067	0.99	
CYP3A4	rs12721627	0.99	
ADRA1A	UTS2B	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR3A2	0.818984274335209	
ADRB2	ADCYAP1R1	0.8354005520686607	
ADRB2	CALCA	0.8407682499807351	
ADRA1D	LPAR2	0.8252219011119977	
SLC22A1	rs2282143	0.99	
CYP2C9	rs28371686	0.99	
SLC22A1	rs36056065	0.99	
ADRA1D	NMBR	0.8354005520686607	
ADRB2	DRD5	0.8354005520686607	
ADRB1	ADCYAP1R1	0.8354005520686607	
ADRA1D	GPR4	0.8354005520686607	
ADRB3	NPS	0.8407682499807351	
ADRB2	NPSR1	0.8354005520686607	
rs4987161	CYP3A	0.9414801494009999	
ADRA1B	FFAR2	0.8354005520686607	
ADRA1B	LPAR1	0.8252219011119977	
ADRA1B	GNA13	0.8549476386052599	
ADRB2	GIP	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9135172474836407	
ADRA1D	GCG	0.8407682499807351	
ADRA1A	ADRA1B	0.849809014912932	
CYP3A4	rs56324128	0.9135172474836407	
ADRB1	GCG	0.849809014912932	
ADRA1B	GPR17	0.8252219011119977	
ADRA1D	EDNRB	0.8252219011119977	
ADRA2B	GNAT3	0.8497082254156562	
ACE	AGT	0.8580060915991022	
Lisinopril	ACE	1	
SLC22A1	SLC22A1*1, SLC22A1*2, SLC22A1*3, SLC22A1*4, SLC22A1*5, SLC22A1*6	0.99	
ADRB2	ARRB1	0.8653853888875809	
ADRB3	RLN3	0.8407682499807351	
ADRA1A	KISS1	0.833320481754769	
ADRA1A	PROK1	0.8407682499807351	
ADRB2	GPR25	0.8252219011119977	
ADRB2	PTGER2	0.8252219011119977	
ADRB3	GPR176	0.8252219011119977	
SLC22A1	rs72552763	0.99	
ADRB2	UBC	0.863443159858049	
ABCB1	rs2229109	0.99	
ADRA1B	CHRM3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPAST	0.818984274335209	
ADRA1B	F2RL2	0.8252219011119977	
ADRA1D	PROKR2	0.8354005520686607	
ADRA1B	GCG	0.8407682499807351	
Epinephrine	ADRA2B	1	
ADRA1D	CCK	0.833320481754769	
ADRB1	SCT	0.8407682499807351	
ACE	rs4292	0.99	
ADRB3	CALCA	0.8407682499807351	
ADRA1B	P2RY1	0.8354005520686607	
ADRA1B	LPAR4	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CABLES1	0.818984274335209	
ADRA1D	NMB	0.8407682499807351	
ADRB3	GPR15	0.8252219011119977	
ADRA1A	MLN	0.8407682499807351	
ADRA1B	GPRC6A	0.8252219011119977	
ADRB1	FSHB	0.8407682499807351	
ADRB2	HTR6	0.8354005520686607	
CYP3A4	rs2242480	0.8775210229989678	
ADRA1D	UTS2R	0.8354005520686607	
ADRA1D	UTS2	0.8407682499807351	
ADRA1D	GNA12	0.8526462282435747	
CYP2C9	rs7089580	0.99	
Epinephrine	CYP2C9	1	
ADRB1	HTR6	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FAM71E2	0.818984274335209	
ADRA2C	ADRA2C	0.8459813396079446	
ADRB1	ADCYAP1	0.8407682499807351	
ADRA1D	NPFFR2	0.8252219011119977	
ADRB2	VAMP2	0.863443159858049	
CYP3A4	rs4646440	0.8775210229989678	
ADRA1A	EDN1	0.833320481754769	
ADRA1D	GHSR	0.8354005520686607	
ADRA1B	TAC1	0.833320481754769	
ADRA1D	TRH	0.8407682499807351	
ADRA1D	F2RL2	0.8252219011119977	
ADRA1D	GRM1	0.8354005520686607	
ADRB2	HIP1R	0.8628338709774962	
ADRB3	PTHLH	0.8407682499807351	
ADRA1B	NPSR1	0.8354005520686607	
ADRB3	FSHR	0.8354005520686607	
ADRA1A	XCL1	0.833320481754769	
ADRA1B	GRM1	0.8354005520686607	
ADRA1A	GNRHR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.818984274335209	
ADRA1D	SAA1	0.833320481754769	
ADRB2	FNBP1	0.863443159858049	
CYP2C9	rs71486745	0.99	
TNF	TRADD	0.8618120354122875	
ABCB1	rs11983225	0.99	
ADRA1A	NMU	0.8407682499807351	
ADRA1D	GRM5	0.8354005520686607	
ADRB2	GAK	0.851137711762708	
ADRA1B	APP	0.833320481754769	
ADRA1A	NPS	0.8407682499807351	
ADRB1	LHCGR	0.8354005520686607	
ADRB1	HTR7	0.8354005520686607	
ADRA1B	GPR65	0.8354005520686607	
ADRA1D	P2RY2	0.8354005520686607	
ADRA2A	rs1800544	0.99	
CYP2C9	rs10509680	0.99	
ADRA2C	GNB1	0.8626329038096527	
ADRB3	RXFP2	0.8354005520686607	
TNF	TRAF2	0.8640564449965897	
ADRB2	rs1042714	0.99	
ADRB3	CGA	0.849809014912932	
ADRA1A	NMBR	0.8354005520686607	
ADRA1D	LPAR6	0.8354005520686607	
ADRA1A	F2RL1	0.8252219011119977	
ADRA1D	GNA14	0.8595571341704282	
ADRA1A	BDKRB2	0.8354005520686607	
ADRB1	NPSR1	0.8354005520686607	
ADRA1B	KISS1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.818984274335209	
CYP3A	rs12721627	0.9320653479069899	
ADRB2	CLTCL1	0.866142943288039	
Epinephrine	TNF	1	
ADRB3	HTR6	0.8354005520686607	
ADRA2A	APP	0.833320481754769	
ADRB2	RLN3	0.8407682499807351	
ADRB2	TSHB	0.8407682499807351	
ADRA2C	CXCL6	0.8407682499807351	
ADRA1D	LPAR3	0.8252219011119977	
ADRB2	VAMP7	0.863443159858049	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.99	
ADRB3	GPHB5	0.8407682499807351	
ADRA2C	GNAZ	0.8567933402497072	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCDH1	0.818984274335209	
ADRA1B	TRH	0.8407682499807351	
rs1800544	DRD4	0.9801	
ADRB2	RXFP1	0.8354005520686607	
ADRA1A	GPR68	0.8354005520686607	
ADRA1B	TAC3	0.833320481754769	
ADRB2	ARPC2	0.8628338709774962	
ADRB1	CALCA	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DCD	0.818984274335209	
CYP2C9	rs7900194	0.99	
ADRA1D	KISS1R	0.8252219011119977	
ADRA1B	KISS1R	0.8252219011119977	
ADRA1A	P2RY2	0.8354005520686607	
SLC22A5	rs2631367	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.818984274335209	
ADRB1	GPBAR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF292	0.818984274335209	
ADRB3	GNB1	0.8526462282435747	
ADRA1A	NPFFR1	0.8252219011119977	
ADRA1A	P2RY6	0.8354005520686607	
ADRB1	MC2R	0.8252219011119977	
ADRB2	ARPC3	0.8628338709774962	
ADRA1A	TRHR	0.8354005520686607	
CYP2C9	rs9332239	0.99	
ADRA1B	EDN1	0.833320481754769	
TNF	MADD	0.8197146809151086	
ADRB2	GPR15	0.8252219011119977	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3	0.99	
ADRA2C	MT-RNR2	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.818984274335209	
ADRA1B	FFAR3	0.8354005520686607	
ADRA1A	PROKR1	0.8354005520686607	
ADRB3	GPR45	0.8252219011119977	
ADRB1	RLN2	0.8459813396079446	
ADRB2	GPR20	0.8252219011119977	
ADRA1D	NTSR1	0.8252219011119977	
ADRA1D	PTAFR	0.8252219011119977	
ADRA2B	MT-RNR2	0.8407682499807351	
ADRA1B	F2	0.833320481754769	
ADRA2B	CXCL6	0.8407682499807351	
ADRB2	INSL3	0.8407682499807351	
ADRA1D	GPR132	0.8354005520686607	
ADRA1A	XCR1	0.8252219011119977	
ADRA1B	GRPR	0.8354005520686607	
ADRA1D	GCGR	0.8354005520686607	
ADRA1D	OPN4	0.8354005520686607	
ADRA1D	P2RY10	0.8354005520686607	
ADRA1A	GNA13	0.8549476386052599	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	EXOC6	0.818984274335209	
ADRB2	STAM	0.863443159858049	
CYP3A4	rs2740574	0.99	
ADRA1D	AGT	0.8407682499807351	
ADRB2	CALCR	0.8421959353175904	
ADRA1A	P2RY10	0.8354005520686607	
ADRA1B	CCK	0.833320481754769	
ADRA1D	TACR2	0.8252219011119977	
ADRB1	RAMP2	0.8421959353175904	
ADRB2	CTTN	0.8628338709774962	
rs2740574	CYP3A	0.9043820750088043	
ADRA1A	LPAR4	0.8354005520686607	
ADRA1A	LPAR1	0.8252219011119977	
ADRB3	TSHB	0.8407682499807351	
TNF	NSMAF	0.8398120133516425	
ADRA1A	GPR132	0.8354005520686607	
ADRB2	ADM2	0.8407682499807351	
ADRB1	GPR45	0.8252219011119977	
ADRA1D	PROKR1	0.8354005520686607	
ADRA1B	PTGFR	0.8252219011119977	
ADRA1B	SAA1	0.833320481754769	
ADRB3	ADCYAP1R1	0.8354005520686607	
ADRB2	GPR32	0.8252219011119977	
ADRA2A	ANXA1	0.8407682499807351	
ADRB3	PTGIR	0.8354005520686607	
ADRB3	GNG2	0.8526462282435747	
ADRA1B	GNB1	0.8632667287580127	
Epinephrine	PAH	1	
CYP3A4	rs28371759	0.8775210229989678	
ADRB2	ARPC4	0.8628338709774962	
ADRA1D	GNG2	0.8632667287580127	
ADRA1B	NTSR2	0.8252219011119977	
SLC22A1	rs628031	0.99	
CYP2C9	CYP2C9*1, CYP2C9*11, CYP2C9*2, CYP2C9*3, CYP2C9*5, CYP2C9*6	0.99	
ADRA1A	GNRHR2	0.8354005520686607	
SLC22A1	rs34130495	0.99	
ADRB2	GIPR	0.8354005520686607	
CYP3A4	rs4646437	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT1	0.818984274335209	
ADRB2	SYT9	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TRAPPC11	0.818984274335209	
CYP3A4	rs3735451	0.8775210229989678	
ADRB2	WASL	0.8628338709774962	
ADRA1B	NPFF	0.833320481754769	
ADRB2	CD3D	0.863443159858049	
ADRB1	GPHB5	0.8407682499807351	
ADRB2	LRP2	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA1551	0.818984274335209	
TNF	SHARPIN	0.7983096722548423	
ADRA1B	NMUR2	0.8421959353175904	
ADRA1D	APP	0.833320481754769	
ADRA1B	BDKRB1	0.8354005520686607	
ADRA1B	GNA11	0.8595571341704282	
Epinephrine	ADRB1	1	
ACE2	AGT	0.8583440478929699	
CYP3A4	rs4987161	0.9509900498999999	
ADRB3	SCTR	0.8354005520686607	
ABCB1	rs3842	0.99	
ADRA1D	CHRM1	0.8354005520686607	
ADRA1B	PROK2	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.818984274335209	
ADRA1B	CCKBR	0.8354005520686607	
ADRB2	rs1042718	0.99	
ADRA1B	NMBR	0.8354005520686607	
ADRB3	VIPR2	0.8252219011119977	
ADRB1	ADM2	0.8407682499807351	
ADRA1D	CHRM3	0.8354005520686607	
ADRA1D	EDN2	0.833320481754769	
ADRA1A	GNAQ	0.8595571341704282	
ADRA1A	UTS2	0.8407682499807351	
ADRB1	PTH	0.8407682499807351	
ADRA1B	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.904977499353	
CYP1A2	rs72547516	0.99	
ADRA2A	CCL23	0.833320481754769	
ADRA2C	GNAI1	0.8497082254156562	
ADRA1B	LPAR2	0.8252219011119977	
TNF	TRAF3	0.8228150578411493	
ADRA2A	RLN3	0.8407682499807351	
ADRA1D	GPR68	0.8354005520686607	
ADRB1	CRHR1	0.8354005520686607	
ABCB1	rs1922242	0.99	
ADRA1A	GNRH2	0.8407682499807351	
rs2740574	CYP3A4	0.92274469442792	
ADRA1D	HCRT	0.833320481754769	
ADRB2	RPS27A	0.863443159858049	
ADRB3	GPR150	0.8252219011119977	
CYP1A2	rs4646427	0.99	
ADRA1D	EDN1	0.833320481754769	
ADRA1B	PROK1	0.8407682499807351	
ADRB3	RXFP1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PF4V1	0.818984274335209	
ADRA1A	MLNR	0.8354005520686607	
ADRA1B	GNG2	0.8632667287580127	
ADRB2	UBA52	0.863443159858049	
CYP3A4	rs28371759	0.9509900498999999	
ABCB1	rs10280101	0.99	
TNF	RACK1	0.7983096722548423	
ADRB2	GRB2	0.863443159858049	
ADRA1A	GAST	0.8407682499807351	
ADRA1B	GNA14	0.8595571341704282	
ADRA1D	HCRTR1	0.8252219011119977	
Epinephrine	ADRB3	1	
ADRA2B	GNG2	0.8626329038096527	
ADRA1A	GHRL	0.8407682499807351	
ADRB2	IGF2R	0.863443159858049	
ADRA1B	HRH1	0.8354005520686607	
ADRB2	TSHR	0.8354005520686607	
ADRB3	MC5R	0.8252219011119977	
ADRA1D	HRH1	0.8354005520686607	
ADRA1D	CYSLTR1	0.8252219011119977	
ADRA1D	GRPR	0.8354005520686607	
ADRA1B	MLN	0.8407682499807351	
ADRA1A	GPRC6A	0.8252219011119977	
ADRB1	IAPP	0.8407682499807351	
ADRB2	REPS1	0.8664623807565615	
ADRA1B	ADRA1D	0.849809014912932	
TNF	TAX1BP1	0.7915338758855884	
ADRA1B	P2RY6	0.8354005520686607	
ADRA1A	PTGFR	0.8252219011119977	
ADRA1A	ADRA1A	0.849809014912932	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.818984274335209	
CYP3A4	rs56324128	0.99	
ADRA1A	UTS2R	0.8354005520686607	
ADRB1	FSHR	0.8354005520686607	
CYP3A4	rs28371759	0.99	
CYP3A4	CYP3A4*1, CYP3A4*22	0.99	
ADRB2	ARRB2	0.8653853888875809	
ADRA1B	NTS	0.833320481754769	
ADRA2B	ADRA2A	0.8459813396079446	
ADRB3	GHRH	0.8407682499807351	
ABCB1	rs4728709	0.99	
ABCB1	rs2235015	0.99	
ADRB1	GPR150	0.8252219011119977	
ABCB1	rs2032583	0.99	
ADRB2	GPR27	0.8252219011119977	
ADRB2	VAMP3	0.863443159858049	
ADRA2A	ADRA2C	0.8459813396079446	
ADRA1A	GNRH1	0.8407682499807351	
ADRA1A	GRP	0.8407682499807351	
ADRA2A	GNAI1	0.8497082254156562	
ADRA1B	LPAR6	0.8354005520686607	
ADRB2	GPR176	0.8252219011119977	
TNF	rs1800629	0.99	
ADRB1	MC3R	0.8252219011119977	
ADRB1	RAMP1	0.8421959353175904	
ADRB2	VAMP4	0.863443159858049	
ADRA2B	CCL23	0.833320481754769	
ADRB3	PTGER2	0.8252219011119977	
CYP1A2	rs2069526	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	IGDCC4	0.818984274335209	
ADRB3	GPR25	0.8252219011119977	
ADRA1D	FFAR2	0.8354005520686607	
ADRA1A	CCKAR	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	QTRTD1	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:xz86zyvibNFDhT+J8v28Znx5/2M9913	0.818984274335209	
ACE	rs1799752	0.99	
ADRA1A	CHRM1	0.8354005520686607	
ADRB2	EPN2	0.863443159858049	
ADRB1	DRD5	0.8354005520686607	
ADRB1	SCTR	0.8354005520686607	
ADRA2C	APP	0.833320481754769	
ADRB2	AMPH	0.863443159858049	
CYP3A4	rs2740574	0.8775210229989678	
ADRA2C	RLN3	0.8407682499807351	
ADRA1B	LPAR3	0.8252219011119977	
ADRB2	SCARB2	0.863443159858049	
ADRA1D	CCKAR	0.8252219011119977	
ADRA1D	GPR65	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GFAP	0.818984274335209	
ADRB1	GPHA2	0.8407682499807351	
ADRB3	LHB	0.8407682499807351	
ADRB2	TF	0.863443159858049	
ADRB2	ARPC1A	0.8628338709774962	
CYP2C9	rs4918758	0.99	
ADRA1D	GNB1	0.8632667287580127	
rs12721627	CYP3A4	0.96059601	
ADRA1A	LPAR3	0.8252219011119977	
Epinephrine	ADRB2	1	
ADRA1B	NMUR1	0.8354005520686607	
TNF	RIPK1	0.8618120354122875	
ADRA2C	rs11269124	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:x6cpThd263Mg5MI1OElxwfuSmiY9606	0.818984274335209	
ADRA1D	CCKBR	0.8354005520686607	
ADRA1A	NMS	0.8407682499807351	
ADRB2	CRHR1	0.8354005520686607	
ADRA1A	NPSR1	0.8354005520686607	
ADRA2B	SAA1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GSN	0.818984274335209	
ADRA1B	LPAR5	0.8252219011119977	
ADRB2	TRIP10	0.863443159858049	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9135172474836407	
ADRA1D	GNA13	0.8549476386052599	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR8D2	0.8638247395845513	
ADRA1A	PMCH	0.833320481754769	
Epinephrine	ADRA2C	1	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9509900498999999	
ADRA1A	GRM5	0.8354005520686607	
Epinephrine	ADRA1A	1	
ACE	REN	0.8435102388865442	
ADRB2	ADCYAP1	0.8407682499807351	
ADRB2	FNBP1L	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CAMTA1	0.818984274335209	
ADRA1B	FFAR1	0.8354005520686607	
ADRB3	MC1R	0.8252219011119977	
ADRB2	SYT2	0.863443159858049	
CYP3A4	rs2246709	0.8775210229989678	
ADRB2	CD3G	0.863443159858049	
ADRB2	GPBAR1	0.8354005520686607	
ADRB1	PTHLH	0.8407682499807351	
CYP1A2	rs762551	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CEP44	0.818984274335209	
ADRB3	CALCR	0.8421959353175904	
ADRB2	GPR150	0.8252219011119977	
ADRB3	P2RY11	0.8252219011119977	
ADRA1B	BDKRB2	0.8354005520686607	
ADRA1A	CASR	0.8354005520686607	
ADRB1	GPR27	0.8252219011119977	
ADRA1A	LPAR5	0.8252219011119977	
ADRB3	RAMP1	0.8421959353175904	
ADRB2	PICALM	0.863443159858049	
ADRB2	ACTR3	0.8628338709774962	
ADRB2	SCT	0.8407682499807351	
CYP3A	rs12721627	0.8953382542587163	
ADRB1	CGA	0.849809014912932	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9135172474836407	
ADRB3	GPR27	0.8252219011119977	
ADRB3	MC2R	0.8252219011119977	
ADRA1B	NPFFR1	0.8252219011119977	
ADRB2	HTR4	0.8354005520686607	
ADRB3	rs4994	0.99	
ADRB2	PTHLH	0.8407682499807351	
ADRA1B	AVPR1A	0.8354005520686607	
ADRA1A	NMB	0.8407682499807351	
ADRB2	FSHB	0.8407682499807351	
ADRA1B	MLNR	0.8354005520686607	
CYP3A4	rs4646440	0.9509900498999999	
ADRA2A	rs1800545	0.99	
ADRA1D	ADRA1D	0.849809014912932	
ADRA2B	APP	0.833320481754769	
ADRA1A	OXTR	0.8252219011119977	
ADRA1D	KNG1	0.8407682499807351	
ADRA1B	EDNRB	0.8252219011119977	
ADRA1B	P2RY2	0.8354005520686607	
Epinephrine	SLC22A2	1	
ADRB1	CALCRL	0.8421959353175904	
ADRA1B	CHRM5	0.8354005520686607	
ADRA1A	OXT	0.833320481754769	
ADRB2	RLN2	0.8459813396079446	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.818984274335209	
CYP3A4	rs2242480	0.9135172474836407	
ADRB3	GPR32	0.8252219011119977	
ADRB2	GNAS	0.8549476386052599	
ADRA1D	QRFPR	0.8252219011119977	
ADRB1	CRH	0.8407682499807351	
ADRA2B	PMCH	0.833320481754769	
CYP2C9	CYP2C9*1, CYP2C9*59	0.99	
ADRB2	MC3R	0.8252219011119977	
ADRB2	GHRHR	0.8354005520686607	
ABCB1	rs9282564	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.818984274335209	
ADRA1A	EDNRB	0.8252219011119977	
ADRA1D	CASR	0.8354005520686607	
ADRA1D	PMCH	0.833320481754769	
CYP1A2	rs2472304	0.99	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9135172474836407	
ADRB3	POMC	0.833320481754769	
ADRB1	GHRH	0.8407682499807351	
ADRB2	VIP	0.833320481754769	
ADRA1A	P2RY1	0.8354005520686607	
ADRA1B	TACR2	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CST3	0.818984274335209	
ADRA1A	LPAR6	0.8354005520686607	
ADRB2	CLTC	0.8664089236866457	
ADRA1A	HCRT	0.833320481754769	
ABCB1	ABCB1*1, ABCB1*2(PMID:11503014)	0.99	
ADRA1A	GNA14	0.8595571341704282	
ADRB2	AP2B1	0.8669217489920482	
ADRA1D	TACR3	0.8252219011119977	
ADRB2	EGF	0.863443159858049	
